bait_accession,prey_accession,confidence_1,abundance_1,confidence_3,abundance_3,confidence_10,abundance_10,confidence_30,abundance_30
P41143,Q6ZSR9,0.043,2.596,0.041,4.365,0.008,3.303,0.014,1.952
P41143,Q2M2I8,0.006,4.63,0,4.537,0.001,5.09,0.001,5.083
P41143,Q9Y312,0,2.727,0,2.283,0,2.866,0,2.516
P41143,P49588,0,21.855,0,34.4,0,46.503,0,47.539
P41143,Q9NRN7,0.171,7.731,0.085,5.608,0.056,4.817,0.002,4.663
P41143,Q86UQ4,0.333,8.928,0.333,5.693,0.333,3.518,0.333,2.983
P41143,P28288,0.002,4.858,0.042,2.621,0,4.382,0.001,4.261
P41143,P61221,0,5.88,0,5.103,0.001,7.823,0,7.348
P41143,Q8NE71,0,3.963,0,6.232,0,4.499,0,3.925
P41143,Q9UG63,0,2.567,0,2.651,0,2.361,0,2.572
P41143,Q8IZP0,0,2.355,0,3.283,0,2.495,0,2.353
P41143,Q9NYB9,0,2.614,0.002,1.901,0,1.894,0,1.945
P41143,P42684,0,2.895,0,1.722,0,1.816,0,2.069
P41143,O14639,0.004,3.056,0.002,3.03,0,2.281,0.001,2.752
P41143,Q13085,0,1494091.272,0,5477706.331,0,92257943.73,0,34013556.4
P41143,P24752,0.043,2.768,0.122,2.97,0.016,3.711,0.004,2.084
P41143,Q9BWD1,0,1.239,0,0.716,0.005,2.719,0.002,2.161
P41143,Q9H3P7,0.012,5.122,0.016,4.918,0.019,4.407,0.316,7.041
P41143,P53396,0,7248.899,0,15355.329,0,21856.602,0,20397.583
P41143,O00154,0,1.938,0,2.126,0,4.362,0,2.485
P41143,Q9Y305,0,3.597,0,3.558,0.002,4.146,0.051,4.456
P41143,P24666,0.006,3.773,0.001,3.405,0,3.125,0,2.797
P41143,O95573,0.038,4.32,0.014,2.007,0.003,3.435,0.004,3.683
P41143,P60709,0,60.233,0,11.323,0,39.439,0,8.791
P41143,Q562R1,0.336,132.812,0.284,45.894,0.128,119.881,0.076,64.87
P41143,P63261,0.201,51.187,0.009,3.722,0.01,3.383,0.061,12.425
P41143,P12814,0,299.607,0,615.269,0,130.178,0,52.289
P41143,O43707,0,1984670.01,0,15841507.99,0,1292002.958,0,99970.625
P41143,P61163,0,4.14,0,6.1,0,5.016,0,8.693
P41143,P61160,0,2.37,0,2.847,0,3.215,0,3.264
P41143,P61158,0,3.057,0.001,3.421,0,2.999,0,2.952
P41143,Q13444,0,1.766,0,1.673,0,1.669,0,2.694
P41143,P78536,0,3.215,0,0.895,0,0,0,0.987
P41143,Q13443,0.001,3.863,0.001,4.283,0.002,4.979,0.002,5.184
P41143,P55265,0,4.155,0,3.618,0,2.946,0.001,3.555
P41143,P35611,0,3.74,0,3.91,0,2.943,0,3.336
P41143,Q9UEY8,0,0,0,0,0,0,0,0
P41143,Q9H2P0,0,1.026,0,2.11,0,2.474,0,1.736
P41143,P07550,0,0,0,0,0,0,0,0
P41143,Q16186,0,4.238,0,4.444,0,4.58,0,4.762
P41143,P30566,0,4.548,0,4.31,0,3.694,0.001,4.682
P41143,P30520,0,6.52,0,7.181,0,6.588,0,6.308
P41143,Q8IUX7,0.002,1.412,0.014,1.713,0.33,3.856,0.219,2.44
P41143,Q6ULP2,0.14,13.012,0.115,11.705,0.259,92.291,0.069,11.161
P41143,Q9UPQ3,0,4.312,0,1.53,0,3.064,0,1.861
P41143,Q96P47,0,3.063,0,2.987,0,3.021,0,2.966
P41143,P52594,0.978,8.869,0.995,9.596,0.333,6.445,0.031,5.049
P41143,P35573,0.097,4.09,0.055,1.486,0,1.885,0,1.658
P41143,O00468,0,0,0,0,0,0,0.002,3.247
P41143,Q9UPW5,0,3.58,0,2.577,0,0,0,3.828
P41143,Q6RW13,0.521,6.266,0.471,4.09,0.005,2.661,0.035,5.077
P41143,P23526,0,107.295,0,244.929,0,224.442,0,317.091
P41143,Q09666,0,240.147,0,418.961,0,144.575,0,93.948
P41143,O95433,0.063,3.273,0.062,5.194,0.012,1.986,0.021,1.296
P41143,Q12904,0,6.447,0,8.057,0,8.082,0,7.322
P41143,Q13155,0,5.582,0,5.344,0,8.653,0,5.616
P41143,O00170,0,2.547,0,2.394,0,2.049,0,2.249
P41143,Q92667,0,3.328,0,3.035,0,2.84,0,3.138
P41143,Q9UKA4,0,3.253,0,3.353,0,2.843,0,3.292
P41143,Q02952,0,7.106,0,10.157,0,7.277,0,4.501
P41143,Q12802,0,2.409,0,2.189,0,2.417,0,2.459
P41143,Q02040,0.002,3.485,0.007,2.17,0,3.51,0,3.806
P41143,Q9Y2D5,0,1.22,0,1.408,0,2.691,0,3.122
P41143,O43823,0,2.167,0,2.301,0,2.549,0,4.395
P41143,Q9ULX6,0,2.746,0,2.449,0,1.192,0,2.902
P41143,Q99996,0.33,5.682,0.282,3.767,0.094,2.357,0.033,1.893
P41143,Q8IZ83,0,2.017,0,1.299,0.001,2.427,0,1.332
P41143,P54886,0,4.421,0,4.491,0,6.412,0,4.994
P41143,P04075,0,310.411,0,718.234,0,890.01,0,1144.268
P41143,P09972,0.059,4.697,0.018,3.459,0.008,3.323,0,3.261
P41143,Q5JTC6,0.333,7.986,0.333,5.109,0.179,3.319,0,2.597
P41143,Q01433,0.05,3.22,0.03,5.12,0.001,4.252,0.002,2.313
P41143,Q9H1A4,0,1.744,0,3.557,0.001,2.08,0.001,3.964
P41143,Q9UJX3,0,1.592,0,3.704,0,1.099,0,2.169
P41143,Q12955,0,1.661,0,2.753,0,2.778,0,1.886
P41143,Q9P2R3,0.037,4.707,0.129,5.694,0.115,6.767,0.029,4.98
P41143,Q8IWZ3,0,3.863,0,4.747,0,4.055,0,2.917
P41143,Q86XL3,0.029,2.655,0.258,4.288,0.001,2.953,0.299,3.072
P41143,O75179,0,2.996,0,2.925,0,2.878,0,3.208
P41143,O15084,0,3.702,0,3.117,0,2.933,0,2.874
P41143,Q92625,0,2.308,0,1.996,0,1.664,0,1.854
P41143,Q9NQW6,0,3.238,0,3.231,0,2.301,0,3.224
P41143,P04083,0,5.507,0,6.176,0,4.858,0,4.799
P41143,P50995,0,17.525,0,24.858,0,38.151,0,25.232
P41143,P07355,0,1.645,0,1.875,0,1.954,0,1.424
P41143,P08133,0.074,8.53,0.052,6.993,0.043,6.194,0.035,5.752
P41143,P20073,0,12.169,0,15.213,0,35.428,0,42.191
P41143,Q10567,0.01,4.558,0.022,4.258,0.001,3.721,0.004,3.923
P41143,O43747,0.006,4.334,0.006,5.677,0.05,6.608,0.088,8.807
P41143,Q9BXS5,0.016,1.736,0.012,3.296,0.019,4.262,0.008,3.592
P41143,P56377,0.022,7.112,0.001,3.352,0.001,5.667,0,3.066
P41143,O95782,0.104,6.399,0.139,7.965,0.051,6.048,0.097,8.052
