#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_1min	confidence_score_3min	confidence_score_10min	confidence_score_30min	cluster	abundance_1min	abundance_3min	abundance_10min	abundance_30min
OPRD1	AGFG1	P41143	P52594	1min	10min	1	3	Provided	0.978	0.995	0.333	0.031	3	8.869	9.596	6.445	5.049
OPRD1	AGTRAP	P41143	Q6RW13	1min	10min	1	3	Provided	0.521	0.471	0.005	0.035	3	6.266	4.09	2.661	5.077
OPRD1	APPL1	P41143	Q9UKG1	1min	30min	1	4	Provided	0.448	0.655	0.792	0.018	3	6.279	5.458	7.82	3.493
OPRD1	ARRB2	P41143	P32121	1min		1	5	Provided	0.999	1	0.999	0.558	3	13.85	15.615	9.736	6.978
OPRD1	ATP6V0A1	P41143	Q93050	3min		2	5	Provided	0.083	0.586	0.481	0.8	3	6.248	6.439	6.341	7.972
OPRD1	ATP6V1A	P41143	P38606	10min		3	5	Provided	0	0.008	0.44	0.725	1	5.527	9.361	28.535	60.977
OPRD1	ATP6V1B2	P41143	P21281	30min		4	5	Provided	0	0.017	0.348	0.549	1	3.039	4.591	6.959	9.332
OPRD1	ATP6V1E1	P41143	P36543	10min		3	5	Provided	0.06	0.262	0.996	0.968	1	4.068	7.443	9.413	8.227
OPRD1	ATP6V1G1	P41143	O75348	3min		2	5	Provided	0.276	0.793	0.665	1	4	10.418	19.485	8.854	20.849
OPRD1	CAMK2B	P41143	Q13554	10min	30min	3	4	Provided	0.035	0.176	0.585	0	3	2.46	4.115	3.108	1.916
OPRD1	CDH3	P41143	P22223	1min	3min	1	2	Provided	0.52	0.378	0.331	0.359	3	4.085	3.843	4.4	5.033
OPRD1	CENPF	P41143	P49454	30min		4	5	Provided	0.164	0.331	0.333	0.667	3	4.455	6.949	3.781	5.249
OPRD1	CLCC1	P41143	Q96S66	10min		3	5	Provided	0	0.009	0.787	0.991	1	5.366	6.138	9.238	13.344
OPRD1	CYLD	P41143	Q9NQC7	3min	10min	2	3	Provided	0	0.894	0.01	0.001	3	6.822	8.231	3.049	4.496
OPRD1	DNM1L	P41143	O00429	10min		3	5	Provided	0.01	0.387	0.62	0.999	1	4.337	6.44	6.278	8.671
OPRD1	DSG1	P41143	Q02413	1min	3min	1	2	Provided	0.63	0.209	0.322	0.147	2	9.437	3.221	2.231	1.837
OPRD1	EIF4G2	P41143	P78344	1min	3min	1	2	Provided	0.639	0.301	0.043	0	2	17.746	6.546	4.249	3.43
OPRD1	EMC1	P41143	Q8N766	3min	10min	2	3	Provided	0.333	0.828	0.002	0.183	4	3.679	11.407	3.535	3.444
OPRD1	EPN2	P41143	O95208	1min	30min	1	4	Provided	0.659	0.666	0.579	0	2	8.87	6.134	5.997	0
OPRD1	GPS1	P41143	Q13098	1min	3min	1	2	Provided	0.667	0.333	0.016	0	2	11.802	4.111	4.536	2.07
OPRD1	ITSN2	P41143	Q9NZM3	1min	10min	1	3	Provided	0.505	0.824	0.189	0.081	3	7.59	8.536	5.565	4.836
OPRD1	KHDRBS1	P41143	Q07666	1min	10min	1	3	Provided	0.622	0.954	0.333	0.963	4	3.903	7.766	2.049	8.236
