GO.ID	Term	Annotated	Significant	Expected	Fisher_p_value	Corrected p-value	Proteins	
GO:0007005	mitochondrion organization	397	46	10.03	4.00E-19	5.46E-15	HAX1; OPA1; TIMM17B; NDUFS2; ATP5H; TOMM40; TMEM11; NDUFV2; MX1; NDUFS1; ATP5D; PHB; ATP5C1; NDUFV1; HK2; BAX; SQSTM1; CTTN; OXA1L; BAK1; NDUFA9; IMMT; TIMM50; TIMM23B; ATAD3B; MYH14; MFN1; RHOT2; RHOT1; MUL1; DNAJA3; YME1L1; TIMM17A; PHB2; MSTO1; TIMM21; SLIRP; MFF; GOLPH3; ACAD9; DNAJC11; ATAD3A; CHCHD3; UQCR10; STOML2; SAMM50	
GO:0006839	mitochondrial transport	190	31	4.8	3.30E-17	2.20E-13	HAX1; OPA1; TIMM17B; MTX2; SLC25A12; ATP5H; TOMM40; CYC1; ATP5D; ATP5C1; CPT1A; HK2; BAX; BAK1; TIMM50; TIMM23B; SLC25A24; RHOT2; RHOT1; MICU2; MCU; MUL1; TIMM17A; MICU1; TIMM21; SFXN3; MFF; SLC25A10; SLC25A13; STOML2; SAMM50	
GO:1990542	mitochondrial transmembrane transport	79	19	2	4.20E-14	1.88E-10	OPA1; TIMM17B; SLC25A12; ATP5H; TOMM40; CYC1; ATP5D; ATP5C1; CPT1A; TIMM50; TIMM23B; MICU2; MCU; TIMM17A; MICU1; TIMM21; SFXN3; SLC25A13; STOML2	
GO:0007006	mitochondrial membrane organization	94	18	2.38	1.30E-11	4.40E-08	OPA1; ATP5H; TMEM11; ATP5D; ATP5C1; HK2; BAX; OXA1L; BAK1; IMMT; TIMM50; MFN1; RHOT2; RHOT1; MUL1; DNAJC11; CHCHD3; SAMM50	
GO:0006119	oxidative phosphorylation	119	19	3.01	9.60E-11	2.57E-07	NDUFS2; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; VCP; NDUFA9; UQCR10; STOML2	
GO:0055114	oxidation-reduction process	368	33	9.3	1.10E-10	2.57E-07	CYB5B; NDUFS2; SLC25A12; COX2; UQCRH; CYC1; MGST1; NDUFV2; COX5A; ABCD3; NDUFS1; PRDX5; ATP5D; SDHA; UQCRC1; ABCD1; PPP1CC; HADHA; MTOR; GPD2; UQCRFS1; NDUFV1; CPT1A; HK2; VCP; HADHB; PLOD1; OXA1L; NDUFA9; SLC25A10; UQCR10; SLC25A13; SQOR	
GO:0012501	programmed cell death	1019	57	25.75	1.60E-09	3.18E-06	UL36; HAX1; EXOC5; IFIT3; SPTLC1; OPA1; TRIO; APOE; CAPN1; GSTP1; HSPA5; HSP90B1; UL37; CAPN2; MX1; KDELR1; CALR; NDUFS1; PRDX5; PPP2R1A; DNAJA1; CTNNA1; CTNNB1; PHB; HSPA9; CEACAM6; MTOR; VDAC2; HK2; VCP; DYNLL1; C1QBP; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; FKBP8; BAK1; TIMM50; KANK2; RHOT2; RHOT1; MUL1; DNAJA3; PGAM5; YME1L1; RMDN3; PHB2; MFF; GOLPH3; SDF2L1; RTN4; ATAD3A; MTCH1; PTRH2; MTCH2	
GO:0022904	respiratory electron transport chain	98	16	2.48	2.20E-09	3.78E-06	NDUFS2; SLC25A12; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; SDHA; UQCRC1; GPD2; UQCRFS1; NDUFV1; NDUFA9; UQCR10; SLC25A13	
GO:0022900	electron transport chain	99	16	2.5	2.60E-09	3.92E-06	NDUFS2; SLC25A12; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; SDHA; UQCRC1; GPD2; UQCRFS1; NDUFV1; NDUFA9; UQCR10; SLC25A13	
GO:0008219	cell death	1094	59	27.65	3.10E-09	4.23E-06	UL36; HAX1; EXOC5; IFIT3; SPTLC1; OPA1; TRIO; COX2; APOE; CAPN1; GSTP1; HSPA5; HSP90B1; UL37; CAPN2; MX1; KDELR1; CALR; NDUFS1; PRDX5; PPP2R1A; DNAJA1; CTNNA1; CTNNB1; PHB; HSPA9; CEACAM6; MTOR; VDAC2; HK2; VCP; DYNLL1; C1QBP; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; FKBP8; BAK1; TIMM50; KANK2; SLC25A24; RHOT2; RHOT1; MUL1; DNAJA3; PGAM5; YME1L1; RMDN3; PHB2; MFF; GOLPH3; SDF2L1; RTN4; ATAD3A; MTCH1; PTRH2; MTCH2	
GO:0006915	apoptotic process	990	55	25.02	4.60E-09	5.55E-06	UL36; HAX1; EXOC5; IFIT3; SPTLC1; OPA1; TRIO; APOE; GSTP1; HSPA5; HSP90B1; UL37; CAPN2; MX1; KDELR1; CALR; NDUFS1; PRDX5; PPP2R1A; DNAJA1; CTNNA1; CTNNB1; PHB; HSPA9; CEACAM6; MTOR; VDAC2; HK2; VCP; DYNLL1; C1QBP; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; FKBP8; BAK1; TIMM50; KANK2; RHOT2; RHOT1; MUL1; DNAJA3; YME1L1; RMDN3; PHB2; MFF; GOLPH3; SDF2L1; RTN4; ATAD3A; MTCH1; PTRH2; MTCH2	
GO:0008053	mitochondrial fusion	18	8	0.45	5.00E-09	5.55E-06	OPA1; BAX; BAK1; MFN1; MUL1; MFF; CHCHD3; STOML2	
GO:0061024	membrane organization	520	37	13.14	5.30E-09	5.55E-06	UL115; PPP6C; OPA1; SEC22B; ATP5H; APOE; TFRC; ATP2A2; TMEM11; CDH2; MX1; CALR; ATP5D; PPP2R1A; ABCD1; ATP5C1; HK2; CDC42; BAX; SCRIB; CTTN; OXA1L; BAK1; IMMT; TIMM50; MFN1; RHOT2; RHOT1; MUL1; DNAJA3; RAB34; GOLPH3; RTN4; DNAJC11; CHCHD3; MTCH1; SAMM50	
GO:0006810	transport	2590	103	65.45	9.20E-09	8.90E-06	MYO1C; HAX1; EXOC5; PPP6C; MYO1B; OPA1; TIMM17B; SEC22B; MTX2; SLC25A12; ATP5H; ACSL3; TOMM40; GLUD1; COX2; APOE; TFRC; RPLP0; CAPN1; CYC1; GSTP1; MGST1; HSPA5; HSP90B1; ATP2A2; VCL; CDH2; RAB3B; KDELR1; CALR; ABCD3; ATP5D; DNAJA1; RPL9; ABCD1; CTNNB1; PHB; ATP5C1; PPP1CC; HSPA9; DDOST; CEACAM6; ARL1; MTOR; LRPPRC; VDAC2; IQGAP1; CPT1A; RAB5C; HK2; VCP; CDC42; RAP1B; RPS18; DYNLL1; CAP1; NUCB1; RPL18; CKAP4; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; BAK1; NDUFA9; TIMM50; TIMM23B; ATAD3B; SLC25A24; CAVIN1; CNST; MAVS; TMEM173; RHOT2; RHOT1; MICU2; ATAD1; MCU; LPCAT1; MUL1; ERGIC1; FAF2; RCN3; ERBB2IP; YME1L1; TIMM17A; PHB2; MICU1; SDF4; TIMM21; SFXN3; RAB34; MFF; GOLPH3; RAB18; TOR4A; SEL1L; SLC25A10; SLC25A13; STOML2; VDAC3; SAMM50	
GO:0045333	cellular respiration	156	19	3.94	1.10E-08	9.59E-06	NDUFS2; SLC25A12; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; GPD2; UQCRFS1; NDUFV1; VCP; OXA1L; NDUFA9; UQCR10; SLC25A13	
GO:0006851	mitochondrial calcium ion transmembrane ...	20	8	0.51	1.40E-08	1.17E-05	OPA1; PHB; MICU2; MCU; YME1L1; PHB2; MICU1; STOML2	
GO:0009205	purine ribonucleoside triphosphate metab...	251	24	6.34	1.50E-08	1.19E-05	OPA1; NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; UQCR10; SLC25A13; STOML2	
GO:0015980	energy derivation by oxidation of organi...	196	21	4.95	1.70E-08	1.31E-05	NDUFS2; SLC25A12; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; PPP1CC; MTOR; GPD2; UQCRFS1; NDUFV1; VCP; OXA1L; NDUFA9; UQCR10; SLC25A13	
GO:0009199	ribonucleoside triphosphate metabolic pr...	256	24	6.47	2.20E-08	1.57E-05	OPA1; NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; UQCR10; SLC25A13; STOML2	
GO:0051234	establishment of localization	2668	104	67.42	2.40E-08	1.60E-05	MYO1C; HAX1; EXOC5; PPP6C; MYO1B; OPA1; TIMM17B; SEC22B; MTX2; SLC25A12; ATP5H; ACSL3; TOMM40; GLUD1; COX2; APOE; TFRC; RPLP0; CAPN1; CYC1; GSTP1; MGST1; HSPA5; HSP90B1; ATP2A2; VCL; CDH2; RAB3B; KDELR1; CALR; ABCD3; ATP5D; DNAJA1; RPL9; ABCD1; CTNNB1; PHB; ATP5C1; PPP1CC; HSPA9; DDOST; CEACAM6; ARL1; MTOR; LRPPRC; VDAC2; IQGAP1; CPT1A; RAB5C; HK2; VCP; CDC42; RAP1B; RPS18; DYNLL1; CAP1; NUCB1; RPL18; CKAP4; BAX; SQSTM1; CAMK2D; SCRIB; CTTN; OXA1L; BAK1; NDUFA9; TIMM50; TIMM23B; ATAD3B; SLC25A24; CAVIN1; CNST; MAVS; TMEM173; RHOT2; RHOT1; MICU2; ATAD1; MCU; LPCAT1; MUL1; ERGIC1; FAF2; RCN3; ERBB2IP; YME1L1; TIMM17A; PHB2; MICU1; SDF4; TIMM21; SFXN3; RAB34; MFF; GOLPH3; RAB18; TOR4A; SEL1L; SLC25A10; SLC25A13; STOML2; VDAC3; SAMM50	
GO:0009144	purine nucleoside triphosphate metabolic...	258	24	6.52	2.60E-08	1.65E-05	OPA1; NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; MFN1; UQCR10; SLC25A13; STOML2	
GO:0006091	generation of precursor metabolites and ...	323	27	8.16	3.10E-08	1.92E-05	NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; PPP1CC; MTOR; GPD2; UQCRFS1; NDUFV1; HK2; VCP; OXA1L; NDUFA9; PHB2; UQCR10; SLC25A13; STOML2	
GO:0046034	ATP metabolic process	227	22	5.74	4.90E-08	2.89E-05	NDUFS2; SLC25A12; ATP5H; COX2; UQCRH; CYC1; NDUFV2; COX5A; NDUFS1; ATP5D; SDHA; UQCRC1; ABCD1; ATP5C1; UQCRFS1; NDUFV1; HK2; VCP; NDUFA9; UQCR10; SLC25A13; STOML2	
