#node1	node2	node1_accession	node2_accession	onset	terminus	type	confidence_score_24	confidence_score_48	confidence_score_72	confidence_score_96	confidence_score_120	cluster	abundance_24	abundance_48	abundance_72	abundance_96	abundance_120
UL37	UL89	P16778	P16732	72	96	Provided	0	0	0.99	0.79	1	4	582.2748571	7435.636675	50880.53176	116988.3134	86902.84961
UL37	UL89	P16778	P16732	120	144	Provided	0	0	0.99	0.79	1	4	582.2748571	7435.636675	50880.53176	116988.3134	86902.84961
UL37	UL75	P16778	P12824	72	144	Provided	0	0	0.9	0.99	1	4	4968.993275	7659.165923	32238.21504	136542.3624	159720.9848
UL37	RL12	P16778	P16810	120	144	Provided	0	0	0.43	0.5	0.9	4	0	2382.754126	27880.43908	24346.2919	16682.69213
UL13	RL12	P16755	P16810	120	144	Provided	0	0	0	0.73	0.95	1	0	8538.937411	31369.6297	33774.31043	31939.00154
UL37	UL15A	P16778	P16844	72	144	Provided	0	0	0.97	0.99	0.99	4	4766.518088	7652.352257	43252.30613	76407.97484	32730.91335
UL37	UL50	P16778	P16791	48	72	Provided	0	0.94	0.35	0.36	0.55	4	54949.32584	181217.427	537283.2617	923117.0639	740596.5909
UL37	UL77	P16778	P16726	96	120	Provided	0	0	0	0.98	0.33	4	0	724.6558674	1618.445022	6092.631637	3193.283573
UL37	UL56	P16778	P16724	72	144	Provided	0	0	0.99	1	1	1	220384.3673	140981.4296	93347.46271	140844.6611	100465.2511
UL37	UL105	P16778	P16736	96	120	Provided	0	0.08	0.17	0.99	0.64	2	21046.84524	46566.77578	49184.13262	47235.9048	26471.45151
UL37	UL93	P16778	P16799	96	120	Provided	0	0	0	0.96	0.54	3	791.961575	17810.57593	6097.652616	10656.05957	8246.538595
UL37	US14	P16778	P09719	72	144	Provided	0	0	0.87	0.95	0.93	4	0	770.7578979	9425.652406	17846.27392	15699.32032
UL37	UL51	P16778	P16792	120	144	Provided	0	0	0.53	0.61	0.95	4	0	4816.922892	28505.37793	51091.85303	47311.40023
UL37	UL122	P16778	P19893	24	48	Provided	0.93	0.67	0.11	0.34	0.27	4	56747.5672	123324.2641	254857.6283	599911.1513	275998.1829
UL37	UL69	P16778	P16749	96	120	Provided	0	0.69	0.01	0.98	0	3	26742.18923	217968.2472	58578.55101	158540.7236	48139.9948
UL37	US11	P16778	P09727	48	144	Provided	0	0.86	0.86	0.88	0.97	3	26490.79763	59456.18867	20676.25791	17265.86671	12279.6081
UL13	UL13	P16755	P16755	24	144	Provided	1	1	1	1	1		7063245.044	7063245.044	7063245.044	7063245.044	7063245.044
UL37	UL13	P16778	P16755	24	144	Provided	0.93	0.99	0.99	0.98	0.97	1	98226.98749	105897.3877	72311.54319	63789.08795	33263.32294
UL13	UL128	P16755	P16837	96	144	Provided	0	0	0.4	0.89	0.94	1	0	603.342911	2513.450825	6042.406389	9476.160545
UL37	UL128	P16778	P16837	96	144	Provided	0	0	0.27	0.96	0.98	4	1600.699286	2394.0721	10502.31846	41481.70275	57084.49593
UL37	UL123	P16778	P13202	24	144	Provided	0.91	1	0.98	0.98	0.99	2	90064.03358	214346.3742	171783.6332	193698.4032	131168.1007
UL13	UL37	P16755	P16778	120	144	Provided	0.23	0.36	0.68	0.72	0.96	2	11529.7569	13314.86876	10044.43542	13777.21636	15539.90379
UL37	UL37	P16778	P16778	24	144	Provided	1	1	1	1	1		20972123.66	20972123.66	20972123.66	20972123.66	20972123.66
UL37	UL32	P16778	P08318	96	120	Provided	0	0	0.61	0.99	0	4	39013.32692	13595.80953	15869.18027	61742.42168	35602.18783
UL37	UL35	P16778	P16766	96	120	Provided	0	0	0.26	0.95	0.57	4	956.2177876	4594.95912	7188.406072	25362.63455	9198.645007
UL37	UL25	P16778	P16761	96	120	Provided	0	0.1	0	1	0.01	4	69746.41033	582795.8906	268534.856	1028348.191	281863.9718
UL13	UL25	P16755	P16761	120	144	Provided	0	0	0.44	0	1	1	5731.73026	35171.53741	42290.89615	45105.65494	59312.39024
UL37	US9	P16778	P09729	72	144	Provided	0	0.34	0.98	0.97	0.9	2	7789.914445	23658.85286	29203.97212	22192.36443	15241.81438
UL13	US23	P16755	F5HAZ3	72	144	Provided	0.68	0.4	0.99	0.96	0.93	2	39344.61599	75811.68336	57703.33796	64324.74118	73785.80201
UL37	US23	P16778	F5HAZ3	72	144	Provided	0	0.74	0.95	0.95	0.99	2	24124.38107	118526.6866	83654.01318	94462.07972	44713.76824
UL13	UL36	P16755	F5HAY6	24	144	Provided	1	0.85	0.96	0.91	0.9	4	36534.81607	34456.48206	18849.65637	13830.28077	21195.69735
UL37	UL36	P16778	F5HAY6	48	144	Provided	0.24	0.93	0.86	0.99	0.96	3	43113.71655	58189.99265	20194.80897	28518.71825	12576.15154
UL13	UL71	P16755	F5HEA3	72	96	Provided	0.24	0	0.94	0.76	0.6	1	3862.691613	4784.479193	7643.370682	16739.67079	16731.68535
UL37	UL71	P16778	F5HEA3	72	144	Provided	0	0.68	1	1	0.93	4	9324.309623	31400.2606	116966.7394	219634.9538	180212.0507
UL37	UL57	P16778	F5HDQ6	72	144	Provided	0	0	0.93	0.99	0.99	4	2523.177199	11692.89969	17679.24892	27465.3817	22431.00669
UL13	UL132	P16755	F5HGU6	96	120	Provided	0	0	0.64	0.96	0.04	1	1356.171727	1217.567183	6871.811588	22269.11851	29943.64415
UL37	UL132	P16778	F5HGU6	72	144	Provided	0	0	0.97	1	0.97	4	0	1533.99038	15138.1394	39350.63813	60387.28274
UL37	US27	P16778	F5HDK1	96	144	Provided	0	0	0	0.92	0.95	4	597.0672269	0	3023.874565	6924.056844	8419.795945
UL37	US8	P16778	F5HB52	72	144	Provided	0	0.43	0.9	0.96	0.94	2	17622.46522	38118.87933	39303.82329	26846.30509	23966.06737
UL37	US24	P16778	F5H8S6	72	144	Provided	0	0.67	0.99	0.87	0.97	2	12815.17412	34291.3661	32595.86084	35775.04207	16767.28889
UL13	US24	P16755	F5H8S6	72	144	Provided	0.55	0.3	0.95	0.91	0.97	2	15098.79345	16287.87198	23490.48032	24149.66625	28445.53056
UL37	UL26	P16778	F5HGG3	72	120	Provided	0	0	0.83	0.99	0	4	1132.890012	14733.24584	19433.60304	111703.1168	42512.58
UL37	UL115	P16778	F5HCH8	96	144	Provided	0	0	0.42	0.99	1	4	1077.702028	1381.890129	8264.66352	48092.29341	75926.59167
UL13	UL115	P16755	F5HCH8	96	144	Provided	0	0	0.73	0.91	0.9	1	0	827.0482281	6600.793378	17944.13712	22199.37447
UL37	UL88	P16778	F5H9F9	96	144	Provided	0	0	0	0.97	0.9	4	0	0	684.7779305	1346.692611	485.2391157
UL37	UL86	P16778	F5HGT1	96	120	Provided	0	0.48	0	1	0	1	1332980.925	420448.2709	346612.7701	1617261.254	579679.584
UL13	UL86	P16755	F5HGT1	120	144	Provided	0	0	0	0	0.99	1	1273.005858	3750.931215	34495.43927	53832.9538	111447.6236
UL37	UL46	P16778	F5HA93	96	120	Provided	0	0	0	0.99	0	4	14242.16432	14416.16884	9227.52398	48625.58062	10784.77813
UL13	UL70	P16755	B9VXM8	96	144	Provided	0	0	0.48	0.88	0.95	2	6359.542582	10085.25964	10969.36794	13001.08963	11710.03857
UL37	UL70	P16778	B9VXM8	120	144	Provided	0	0.12	0.34	0.44	0.94	2	69005.8289	104911.8567	117778.8287	113101.7985	60052.28816
UL37	TMEM11	P16778	P17152	96	144	Provided	0.34	0	0.77	0.9	0.93	2	11267.61929	15901.94475	15902.6761	16406.27694	11577.70073
UL37	MAVS	P16778	Q7Z434	96	120	Provided	0.24	0.4	0.76	0.99	0.42	2	7252.965247	12989.26683	9660.498062	15707.16861	7499.491356
UL37	MUL1	P16778	Q969V5	96	144	Provided	0	0.38	0.78	0.94	0.9	3	85493.20635	55874.7081	37123.80578	34224.48559	20794.95271
UL37	MGST1	P16778	P10620	72	144	Provided	0.66	0.4	0.97	0.9	0.93	1	54978.69485	62139.95984	43861.75074	29323.45923	28503.04393
UL37	ACSL3	P16778	O95573	72	96	Provided	0	0.49	0.93	0.74	0.3	1	59980.21922	52704.75998	47412.73344	73895.79704	27036.62729
UL37	MFF	P16778	Q9GZY8	96	120	Provided	0	0	0.47	0.92	0.36	4	4969.256568	5644.389697	6549.813014	13619.21207	4306.00623
UL37	ABCD1	P16778	P33897	72	96	Provided	0	0	0.91	0.37	0	2	2448.310355	6602.901132	7578.990316	6190.687399	2719.951265
UL37	FNDC3B	P16778	Q53EP0	72	96	Provided	0.01	0.65	0.99	0.35	0	3	42593.80486	25347.63075	15983.08203	16542.52328	12661.99438
UL37	ATAD1	P16778	Q8NBU5	48	144	Provided	0.29	0.91	0.98	0.98	0.9	1	57252.49273	43881.33384	40444.84611	56688.84479	18843.09885
UL37	ABCD3	P16778	P28288	24	144	Provided	0.99	0.91	1	1	1	1	312383.1661	369324.0425	362154.7248	283787.7443	222448.7804
UL13	RPL18	P16755	Q07020	72	144	Provided	0	0.01	0.93	0.9	0.89	2	9898.238441	5473.060879	10086.02539	5663.095225	7717.88028
UL37	RPL18	P16778	Q07020	96	120	Provided	0	0.47	0.35	0.96	0.09	3	42304.58022	156802.9984	13257.65506	41653.8589	7537.244585
UL37	FAR1	P16778	Q8WVX9	96	120	Provided	0	0.37	0.62	0.9	0.77	1	6663.443042	6953.368928	5989.939645	5580.301215	3500.816931
UL37	PEX11B	P16778	O96011	96	144	Provided	0	0	0.43	0.9	0.86	1	13125.07935	14724.34397	13234.73098	12908.58309	7249.721826
UL13	IFIT3	P16755	O14879	72	144	Provided	0.08	0.27	0.98	0.96	0.95	4	87776.14868	94706.55968	48322.73042	26113.17767	30527.89187
UL37	IFIT3	P16778	O14879	48	120	Provided	0.78	0.96	0.99	1	0.46	3	224759.511	413495.2399	102299.0561	103021.2117	19444.4642
UL37	GPD2	P16778	P43304	48	144	Provided	0.77	1	1	1	1	2	86395.81278	88964.93304	85424.93651	128891.5191	56035.4313
UL37	NDUFS1	P16778	P28331	96	144	Provided	0	0.66	0.26	0.87	0.98	1	20086.81735	16757.94362	14807.47797	15585.64901	11592.20436
UL37	SQOR	P16778	Q9Y6N5	96	120	Provided	0.2	0.07	0.72	0.96	0.77	1	186521.5452	171089.3684	192830.5486	176012.8376	115229.7324
UL13	SQOR	P16755	Q9Y6N5	72	144	Provided	0.31	0.46	0.95	1	0.86	2	174882.2504	299468.4558	231393.3914	309032.1113	239978.4395
UL37	RMDN3	P16778	Q96TC7	24	144	Provided	0.97	0.95	0.99	0.99	0.98	1	307631.9485	213163.2792	221664.2794	184466.3561	122156.6248
UL37	MFN1	P16778	Q8IWA4	96	120	Provided	0	0	0.45	0.95	0.73	4	6959.869214	10472.97873	13148.05594	59926.78747	11677.98818
UL37	DNAJA3	P16778	Q96EY1	72	96	Provided	0	0.26	0.92	0.74	0.58	2	19356.95424	32402.62851	27354.54845	36065.59624	20862.56442
UL13	DNAJA3	P16755	Q96EY1	24	48	Provided	0.99	0.77	0.93	1	0.67	2	39049.15923	43636.59425	40099.39735	52274.19757	39012.08884
UL13	DNAJA3	P16755	Q96EY1	72	120	Provided	0.99	0.77	0.93	1	0.67	2	39049.15923	43636.59425	40099.39735	52274.19757	39012.08884
UL37	OPA1	P16778	O60313	24	48	Provided	0.99	0.4	0.56	0.87	0.94	1	288912.7578	277876.6131	237368.8314	282944.4381	127319.0006
UL37	OPA1	P16778	O60313	96	144	Provided	0.99	0.4	0.56	0.87	0.94	1	288912.7578	277876.6131	237368.8314	282944.4381	127319.0006
UL37	HK2	P16778	P52789	96	120	Provided	0	0	0	0.96	0	2	1078.678867	3202.923935	1215.293152	3386.837919	1235.597035
UL37	COX2	P16778	P00403	24	48	Provided	0.84	0.46	0.74	0.97	0.79	2	28325.1769	22788.52229	30556.24622	39535.05025	23997.22531
