gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus	shared_baits_24	shared_baits_48	shared_baits_72	shared_baits_96	shared_baits_120
ORFL147C	ORFL147C	Human cytomegalovirus (strain Towne) (HHV-5)	Viral			72	96	3	4			UL13		
RL12	P16810	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			120		5	6					UL13; UL37
UL102	F5HIG1	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			120		5	6					UL13
UL105	F5HEN8	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			96	120	4	5				UL13	
UL115	F5HCH8	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			96		4	6				UL13	UL13
UL128	P16837	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			96		4	6				UL13	UL13
UL13	P16755	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			24		1	6	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37
UL132	F5HGU6	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			96	120	4	5				UL13	
UL15A	P16844	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			72		3	6			UL37	UL37	UL37
UL25	P16761	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			120		5	6					UL13
UL36	F5HAY6	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral		programmed cell death; cell death	24		1	6	UL13	UL13; UL37	UL13; UL37	UL13; UL37	UL13; UL37
UL37	P16778	Human cytomegalovirus (strain AD169) (HHV-5)	Viral		programmed cell death; cell death	24		1	6	UL37	UL37	UL37	UL37	UL13; UL37
UL70	B9VXM8	Human cytomegalovirus (strain Towne) (HHV-5)	Viral			96		4	6				UL13	UL13
UL71	F5HEA3	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			72	96	3	4			UL13		
UL86	F5HGT1	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			120		5	6					UL13
UL88	F5H9F9	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			96		4	6				UL37	UL37
UL97	P16788	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			120		5	6					UL13
US11	P09727	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			48		2	6		UL37	UL37	UL37	UL37
US14	P09719	Human cytomegalovirus (strain AD169) (HHV-5)	Viral			72		3	6			UL37	UL37	UL37
US23	F5HAZ3	Human cytomegalovirus (strain Merlin) (HHV-5)	Viral			72		3	6			UL13; UL37	UL13; UL37	UL13; UL37
TMEM11	P17152	Homo sapiens (Human)	Mitochondria; Peroxisome		mitochondrion organization; mitochondrial membrane organization	96		4	6				UL37	UL37
MAVS	Q7Z434	Homo sapiens (Human)	Mitochondria; Peroxisome			96	120	4	5				UL37	
MUL1	Q969V5	Homo sapiens (Human)	Mitochondria; Peroxisome		mitochondrion organization; mitochondrial transport; mitochondrial membrane organization; programmed cell death; cell death	96		4	6				UL37	UL37
MGST1	P10620	Homo sapiens (Human)	Mitochondria; Peroxisome		oxidation-reduction process	72		3	6			UL37	UL37	UL37
ACSL3	O95573	Homo sapiens (Human)	Mitochondria; Peroxisome			72	96	3	4			UL37		
MFF	Q9GZY8	Homo sapiens (Human)	Mitochondria; Peroxisome		mitochondrion organization; mitochondrial transport; programmed cell death; cell death	96	120	4	5				UL37	
ABCD1	P33897	Homo sapiens (Human)	Mitochondria; Peroxisome		oxidative phosphorylation; oxidation-reduction process	72	96	3	4			UL37		
FNDC3B	Q53EP0	Homo sapiens (Human)	Peroxisome			72	96	3	4			UL37		
ATAD1	Q8NBU5	Homo sapiens (Human)	Peroxisome			48		2	6		UL37	UL37	UL37	UL37
ABCD3	P28288	Homo sapiens (Human)	Peroxisome		oxidation-reduction process	24		1	6	UL37	UL37	UL37	UL37	UL37
RPL18	Q07020	Homo sapiens (Human)	Peroxisome			72		3	6			UL13	UL13; UL37	UL13
FAR1	Q8WVX9	Homo sapiens (Human)	Peroxisome			96	120	4	5				UL37	
PEX11B	O96011	Homo sapiens (Human)	Peroxisome			96		4	6				UL37	UL37
IFIT3	O14879	Homo sapiens (Human)	Mitochondria		programmed cell death; cell death	48		2	6		UL37	UL13; UL37	UL13; UL37	UL13
GPD2	P43304	Homo sapiens (Human)	Mitochondria		oxidation-reduction process; respiratory electron transport chain; electron transport chain	48		2	6		UL37	UL37	UL37	UL37
NDUFS1	P28331	Homo sapiens (Human)	Mitochondria	G alpha-13-Hax-1-cortactin-Rac complex	mitochondrion organization; oxidative phosphorylation; oxidation-reduction process; programmed cell death; respiratory electron transport chain; electron transport chain; cell death	96		4	6				UL37	UL37
