accession,genename,GOIDs,localizations,organism,type
O95881,TXNDC12,GO:0005783; GO:0005788; GO:0015037; GO:0019153; GO:0045454; GO:0060548; GO:1902236,Endoplasmic reticulum lumen,Homo sapiens (Human),Background Only
Q96CU9,FOXRED1,GO:0005737; GO:0005739; GO:0005743; GO:0005747; GO:0016021; GO:0016491; GO:0032981,Mitochondrion inner membrane,Homo sapiens (Human),Background Only
O95232,LUC7L3,GO:0003677; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005685; GO:0006376; GO:0008380; GO:0016607; GO:0071004,Nucleus speckle,Homo sapiens (Human),Background Only
P11310,ACADM,GO:0003995; GO:0005634; GO:0005739; GO:0005759; GO:0006635; GO:0016607; GO:0019216; GO:0019254; GO:0030424; GO:0031966; GO:0033539; GO:0042802; GO:0045329; GO:0050660; GO:0051791; GO:0051793; GO:0055114; GO:0070991,Mitochondrion matrix,Homo sapiens (Human),Background Only
Q96IU4,ABHD14B,GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0016787; GO:0045944; GO:0050427; GO:0070062,Cytoplasm; Nucleus,Homo sapiens (Human),Background Only
O76031,CLPX,GO:0004176; GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005759; GO:0005829; GO:0006457; GO:0009368; GO:0009841; GO:0016504; GO:0016887; GO:0030163; GO:0042645; GO:0046034; GO:0046872; GO:0051082; GO:0051603,Mitochondrion; Mitochondrion matrix; Mitochondrion nucleoid,Homo sapiens (Human),Background Only
Q6IBS0,TWF2,GO:0003723; GO:0003785; GO:0005080; GO:0005524; GO:0005546; GO:0005737; GO:0005884; GO:0010591; GO:0010592; GO:0010976; GO:0030016; GO:0030027; GO:0030030; GO:0030042; GO:0030175; GO:0030426; GO:0030837; GO:0032420; GO:0032532; GO:0032956; GO:0042989; GO:0045296; GO:0045773; GO:0048471; GO:0051015; GO:0051016; GO:0070062; GO:0071300; GO:0071363,Cytoplasm; Cytoskeleton; Perinuclear region; Cell projection; Stereocilium,Homo sapiens (Human),Background Only
Q9P287,BCCIP,GO:0000079; GO:0000132; GO:0000226; GO:0003723; GO:0005634; GO:0005654; GO:0005813; GO:0005814; GO:0005829; GO:0006281; GO:0006974; GO:0007052; GO:0015631; GO:0019207; GO:0019908; GO:0034453; GO:0061101; GO:0090307; GO:0097431,Nucleus; Cytoplasm; Cytoskeleton; Microtubule organizing center; Centrosome; Centriole; Spindle pole,Homo sapiens (Human),Background Only
Q9UBP6,METTL1,GO:0000049; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006400; GO:0008176; GO:0030488; GO:0036265,Nucleus,Homo sapiens (Human),Background Only
P20936,RASA1,GO:0000165; GO:0000281; GO:0001570; GO:0001726; GO:0001784; GO:0001953; GO:0003924; GO:0005096; GO:0005102; GO:0005737; GO:0005829; GO:0005886; GO:0007162; GO:0007165; GO:0008360; GO:0019870; GO:0030833; GO:0035556; GO:0043066; GO:0043524; GO:0046580; GO:0048013; GO:0048514; GO:0051020; GO:0051252,Cytoplasm,Homo sapiens (Human),Background Only
Q9GZP9,DERL2,GO:0000839; GO:0001967; GO:0005769; GO:0005770; GO:0005783; GO:0005789; GO:0008284; GO:0016020; GO:0030176; GO:0030307; GO:0030433; GO:0030968; GO:0030970; GO:0044322; GO:0051787; GO:1904153; GO:1904380; GO:1990381,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
P35609,ACTN2,GO:0000165; GO:0002576; GO:0005178; GO:0005509; GO:0005546; GO:0005576; GO:0005829; GO:0005856; GO:0005884; GO:0005925; GO:0007155; GO:0008092; GO:0008307; GO:0019904; GO:0030018; GO:0030035; GO:0030049; GO:0030175; GO:0030274; GO:0030375; GO:0030864; GO:0031093; GO:0031143; GO:0031432; GO:0042391; GO:0042802; GO:0042803; GO:0042981; GO:0043197; GO:0043267; GO:0043268; GO:0044325; GO:0045214; GO:0046983; GO:0048041; GO:0051015; GO:0051289; GO:0051373; GO:0051695; GO:0055013; GO:0070062; GO:0070080; GO:0072659; GO:0086097; GO:0098839; GO:0098978; GO:0099092; GO:1901017; GO:1901018; GO:2000009; GO:2000310; GO:2001137; GO:2001259,Cytoplasm; Myofibril; Sarcomere; Z line,Homo sapiens (Human),Background Only
Q9NYF8,BCLAF1,GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006915; GO:0016607; GO:0043065; GO:0043620; GO:0045892; GO:1990830; GO:2000144; GO:2001022; GO:2001244,Cytoplasm; Nucleus; Nucleus speckle; Nucleoplasm,Homo sapiens (Human),Background Only
Q15942,ZYX,GO:0001725; GO:0003723; GO:0005634; GO:0005737; GO:0005829; GO:0005913; GO:0005925; GO:0007160; GO:0007165; GO:0007179; GO:0007229; GO:0007267; GO:0016032; GO:0043149; GO:0045335; GO:0046872; GO:0050727; GO:0071346,Cytoplasm; Cytoskeleton; Nucleus; Cell junction; Focal adhesion,Homo sapiens (Human),Background Only
P46531,NOTCH1,GO:0000122; GO:0000139; GO:0000978; GO:0001228; GO:0001669; GO:0001701; GO:0001708; GO:0001837; GO:0001889; GO:0001947; GO:0002040; GO:0002052; GO:0002193; GO:0002437; GO:0003151; GO:0003157; GO:0003160; GO:0003162; GO:0003169; GO:0003180; GO:0003181; GO:0003182; GO:0003184; GO:0003192; GO:0003198; GO:0003203; GO:0003207; GO:0003208; GO:0003209; GO:0003213; GO:0003214; GO:0003219; GO:0003222; GO:0003241; GO:0003252; GO:0003256; GO:0003270; GO:0003273; GO:0003332; GO:0003344; GO:0004857; GO:0004888; GO:0005112; GO:0005509; GO:0005576; GO:0005634; GO:0005654; GO:0005789; GO:0005829; GO:0005886; GO:0005912; GO:0006355; GO:0006367; GO:0006955; GO:0006959; GO:0007050; GO:0007219; GO:0007221; GO:0007283; GO:0007368; GO:0007386; GO:0007409; GO:0007440; GO:0007492; GO:0007507; GO:0008284; GO:0008285; GO:0009912; GO:0009986; GO:0010614; GO:0010628; GO:0010629; GO:0010718; GO:0010812; GO:0010832; GO:0014031; GO:0014807; GO:0016021; GO:0016324; GO:0019899; GO:0021515; GO:0021915; GO:0030216; GO:0030279; GO:0030324; GO:0030335; GO:0030513; GO:0030514; GO:0030900; GO:0031069; GO:0031100; GO:0031490; GO:0031960; GO:0032495; GO:0032496; GO:0035116; GO:0035148; GO:0035914; GO:0035924; GO:0042246; GO:0043086; GO:0043235; GO:0045070; GO:0045603; GO:0045608; GO:0045618; GO:0045662; GO:0045668; GO:0045747; GO:0045892; GO:0045893; GO:0045944; GO:0045955; GO:0045967; GO:0046427; GO:0046533; GO:0046579; GO:0046982; GO:0048103; GO:0048708; GO:0048709; GO:0048711; GO:0048715; GO:0048754; GO:0048873; GO:0050679; GO:0050768; GO:0055008; GO:0060038; GO:0060045; GO:0060253; GO:0060271; GO:0060317; GO:0060411; GO:0060412; GO:0060528; GO:0060740; GO:0060768; GO:0060842; GO:0060843; GO:0060948; GO:0060956; GO:0060979; GO:0060982; GO:0061314; GO:0061384; GO:0061419; GO:0062043; GO:0070168; GO:0070374; GO:0070986; GO:0071372; GO:0072017; GO:0072044; GO:0072144; GO:0072602; GO:0090051; GO:0090090; GO:0097150; GO:0120163; GO:1901201; GO:1902263; GO:1902339; GO:1903849; GO:2000737; GO:2000811; GO:2000974; GO:2001027,Cell membrane; Nucleus,Homo sapiens (Human),Background Only
Q8TAE8,GADD45GIP1,GO:0005634; GO:0005739; GO:0005759; GO:0005840; GO:0016032; GO:0070125; GO:0070126; GO:0071850,Mitochondrion; Nucleus,Homo sapiens (Human),Background Only
Q8IXT5,RBM12B,GO:0003723,,Homo sapiens (Human),Background Only
O75554,WBP4,GO:0000398; GO:0003676; GO:0005634; GO:0005654; GO:0008270; GO:0016607; GO:0045292; GO:0070064; GO:0071005,Nucleus; Nucleus speckle,Homo sapiens (Human),Background Only
Q96MU7,YTHDC1,GO:0003723; GO:0005634; GO:0005654; GO:0005886; GO:0006376; GO:0006406; GO:0009048; GO:0010608; GO:0016607; GO:0048024; GO:1990247,Nucleus; Nucleus speckle,Homo sapiens (Human),Background Only
Q02809,PLOD1,GO:0001666; GO:0005506; GO:0005789; GO:0006464; GO:0008475; GO:0008544; GO:0017185; GO:0030199; GO:0030867; GO:0031418; GO:0032963; GO:0042803; GO:0046947; GO:0055114; GO:0070062; GO:1902494,Rough endoplasmic reticulum membrane,Homo sapiens (Human),Both
O43292,GPAA1,GO:0005789; GO:0006621; GO:0015631; GO:0016020; GO:0016255; GO:0042765; GO:0065003,Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
Q75N03,CBLL1,GO:0000151; GO:0004842; GO:0005737; GO:0005829; GO:0007162; GO:0007275; GO:0016567; GO:0016607; GO:0030335; GO:0035635; GO:0036396; GO:0042802; GO:0045807; GO:0046872; GO:0061630; GO:0080009; GO:0098609,Nucleus speckle; Nucleus; Nucleoplasm; Cytoplasm,Homo sapiens (Human),Background Only
P60891,PRPS1,GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0005829; GO:0006015; GO:0006144; GO:0006164; GO:0006221; GO:0007399; GO:0009116; GO:0009156; GO:0009165; GO:0016301; GO:0034418; GO:0042802; GO:0042803; GO:0046101,,Homo sapiens (Human),Background Only
Q8WUA7,TBC1D22A,GO:0005096; GO:0005623; GO:0006886; GO:0017137; GO:0042803; GO:0071889; GO:0090630,,Homo sapiens (Human),Background Only
P40227,CCT6A,GO:0003723; GO:0005524; GO:0005737; GO:0005829; GO:0005832; GO:0005874; GO:0006457; GO:0032212; GO:0050821; GO:0051082; GO:0070062; GO:0071987; GO:1904851; GO:1904871; GO:1904874,Cytoplasm,Homo sapiens (Human),Background Only
A8CG34,POM121C,GO:0005635; GO:0005643; GO:0005789; GO:0006110; GO:0006406; GO:0006409; GO:0006606; GO:0008139; GO:0016021; GO:0016032; GO:0016925; GO:0017056; GO:0019083; GO:0031965; GO:0043657; GO:0060964; GO:0075733; GO:1900034,Nucleus; Nuclear pore complex; Nucleus membrane; Endoplasmic reticulum membrane,Homo sapiens (Human),Background Only
Q9HCD6,TANC2,GO:0001701; GO:0098978; GO:0099092,,Homo sapiens (Human),Background Only
