#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_24	confidence_score_48	confidence_score_72	confidence_score_96	confidence_score_120	cluster	abundance_24	abundance_48	abundance_72	abundance_96	abundance_120
UL37	RL12	P16778	P16810	120		5	6	Provided	0	0	0.43	0.5	0.9	3	0	2382.754126	27880.43908	24346.2919	16682.69213
UL37	UL15A	P16778	P16844	72		3	6	Provided	0	0	0.97	0.99	0.99	3	4766.518088	7652.352257	43252.30613	76407.97484	32730.91335
UL37	UL36	P16778	F5HAY6	48		2	6	Provided	0.24	0.93	0.86	0.99	0.96	2	43113.71655	58189.99265	20194.80897	28518.71825	12576.15154
UL37	UL37	P16778	P16778	24		1	6	Provided	1	1	1	1	1		20972123.66	20972123.66	20972123.66	20972123.66	20972123.66
UL37	UL88	P16778	F5H9F9	96		4	6	Provided	0	0	0	0.97	0.9	3	0	0	684.7779305	1346.692611	485.2391157
UL37	US11	P16778	P09727	48		2	6	Provided	0	0.86	0.86	0.88	0.97	2	26490.79763	59456.18867	20676.25791	17265.86671	12279.6081
UL37	US14	P16778	P09719	72		3	6	Provided	0	0	0.87	0.95	0.93	3	0	770.7578979	9425.652406	17846.27392	15699.32032
UL37	US23	P16778	F5HAZ3	72		3	6	Provided	0	0.74	0.95	0.95	0.99	3	24124.38107	118526.6866	83654.01318	94462.07972	44713.76824
UL37	TMEM11	P16778	P17152	96		4	6	Provided	0.34	0	0.77	0.9	0.93	4	11267.61929	15901.94475	15902.6761	16406.27694	11577.70073
UL37	MAVS	P16778	Q7Z434	96	120	4	5	Provided	0.24	0.4	0.76	0.99	0.42	3	7252.965247	12989.26683	9660.498062	15707.16861	7499.491356
UL37	MUL1	P16778	Q969V5	96		4	6	Provided	0	0.38	0.78	0.94	0.9	1	85493.20635	55874.7081	37123.80578	34224.48559	20794.95271
UL37	MGST1	P16778	P10620	72		3	6	Provided	0.66	0.4	0.97	0.9	0.93	4	54978.69485	62139.95984	43861.75074	29323.45923	28503.04393
UL37	ACSL3	P16778	O95573	72	96	3	4	Provided	0	0.49	0.93	0.74	0.3	4	59980.21922	52704.75998	47412.73344	73895.79704	27036.62729
UL37	MFF	P16778	Q9GZY8	96	120	4	5	Provided	0	0	0.47	0.92	0.36	3	4969.256568	5644.389697	6549.813014	13619.21207	4306.00623
UL37	ABCD1	P16778	P33897	72	96	3	4	Provided	0	0	0.91	0.37	0	3	2448.310355	6602.901132	7578.990316	6190.687399	2719.951265
UL37	FNDC3B	P16778	Q53EP0	72	96	3	4	Provided	0.01	0.65	0.99	0.35	0	1	42593.80486	25347.63075	15983.08203	16542.52328	12661.99438
UL37	ATAD1	P16778	Q8NBU5	48		2	6	Provided	0.29	0.91	0.98	0.98	0.9	4	57252.49273	43881.33384	40444.84611	56688.84479	18843.09885
UL37	ABCD3	P16778	P28288	24		1	6	Provided	0.99	0.91	1	1	1	4	312383.1661	369324.0425	362154.7248	283787.7443	222448.7804
UL37	RPL18	P16778	Q07020	96	120	4	5	Provided	0	0.47	0.35	0.96	0.09	2	42304.58022	156802.9984	13257.65506	41653.8589	7537.244585
UL37	FAR1	P16778	Q8WVX9	96	120	4	5	Provided	0	0.37	0.62	0.9	0.77	4	6663.443042	6953.368928	5989.939645	5580.301215	3500.816931
UL37	PEX11B	P16778	O96011	96		4	6	Provided	0	0	0.43	0.9	0.86	4	13125.07935	14724.34397	13234.73098	12908.58309	7249.721826
UL37	IFIT3	P16778	O14879	48	120	2	5	Provided	0.78	0.96	0.99	1	0.46	2	224759.511	413495.2399	102299.0561	103021.2117	19444.4642
UL37	GPD2	P16778	P43304	48		2	6	Provided	0.77	1	1	1	1	3	86395.81278	88964.93304	85424.93651	128891.5191	56035.4313
UL37	NDUFS1	P16778	P28331	96		4	6	Provided	0	0.66	0.26	0.87	0.98	4	20086.81735	16757.94362	14807.47797	15585.64901	11592.20436
UL37	SQOR	P16778	Q9Y6N5	96	120	4	5	Provided	0.2	0.07	0.72	0.96	0.77	4	186521.5452	171089.3684	192830.5486	176012.8376	115229.7324
UL37	RMDN3	P16778	Q96TC7	24		1	6	Provided	0.97	0.95	0.99	0.99	0.98	4	307631.9485	213163.2792	221664.2794	184466.3561	122156.6248
UL37	MFN1	P16778	Q8IWA4	96	120	4	5	Provided	0	0	0.45	0.95	0.73	3	6959.869214	10472.97873	13148.05594	59926.78747	11677.98818
UL37	DNAJA3	P16778	Q96EY1	72	96	3	4	Provided	0	0.26	0.92	0.74	0.58	3	19356.95424	32402.62851	27354.54845	36065.59624	20862.56442
UL37	OPA1	P16778	O60313	24	48	1	2	Provided	0.99	0.4	0.56	0.87	0.94	4	288912.7578	277876.6131	237368.8314	282944.4381	127319.0006
UL37	OPA1	P16778	O60313	96		4	6	Provided	0.99	0.4	0.56	0.87	0.94	4	288912.7578	277876.6131	237368.8314	282944.4381	127319.0006
UL37	HK2	P16778	P52789	96	120	4	5	Provided	0	0	0	0.96	0	3	1078.678867	3202.923935	1215.293152	3386.837919	1235.597035
UL37	COX2	P16778	P00403	24	48	1	2	Provided	0.84	0.46	0.74	0.97	0.79	3	28325.1769	22788.52229	30556.24622	39535.05025	23997.22531
UL37	COX2	P16778	P00403	96	120	4	5	Provided	0.84	0.46	0.74	0.97	0.79	3	28325.1769	22788.52229	30556.24622	39535.05025	23997.22531
UL37	FKBP8	P16778	Q14318	48		2	6	Provided	0.67	0.96	1	1	0.99	4	55254.13443	71101.59156	70680.68629	68669.12933	27281.48176
UL37	RPS18	P16778	P62269	96	120	4	5	Provided	0.32	0.48	0	0.9	0	2	66710.59091	540821.6262	28973.24467	91657.44844	17635.20505
UL37	GLUD1	P16778	P00367	96	120	4	5	Provided	0	0	0.3	0.94	0	4	4300.685255	3238.370683	2233.176065	4838.871649	1990.670981
