Bait Uniprot Accession #,Prey Uniprot Accession #,Edge weight_3,Prey abundance_3,Edge weight_8,Prey abundance_8,Edge weight_12,Prey abundance_12,Edge weight_18,Prey abundance_18,Edge weight_24,Prey abundance_24
Q6UK10,P70605,1,1,1,30,1,52,1,61,1,84
Q6UK10,Q9Z0U4,1,1,1,26,1,27,1,31,1,18
Q6UK10,Q64568,1,1,1,24,1,27,1,30,1,24
Q6UK10,P11506,1,1,1,18,1,11,1,20,1,10
Q6UK10,Q63635,1,1,1,16,1,21,1,20,1,25
Q6UK10,P33173,1,4,1,62,1,72,1,37,1,21
Q6UK10,Q62245,1,2,1,22,1,36,1,32,1,27
Q6UK10,P42346,1,2,1,20,1,19,1,18,1,19
Q6UK10,Q920R4,1,2,1,20,1,19,1,12,1,10
Q6UK10,O70228,1,3,1,25,1,25,1,27,1,28
Q6UK10,P97526,1,2,1,19,1,21,1,22,1,19
Q6UK10,P24382,1,5,1,41,1,54,1,101,1,164
Q6UK10,P97564,1,2,1,13,1,14,1,21,1,18
Q6UK10,Q8BIV3,1,2,1,12,1,20,1,11,1,14
Q6UK10,Q5IRJ6,1,8,1,63,1,53,1,50,1,46
Q6UK10,Q8CG09,1,2,1,12,1,17,1,21,1,13
Q6UK10,Q9EQG6,1,11,1,80,1,81,1,75,1,65
Q6UK10,Q9ES21,1,3,1,19,1,26,1,17,1,23
Q6UK10,P70705,1,3,1,21,1,33,1,35,1,29
Q6UK10,A2AWA9,1,17,1,108,1,121,1,108,1,94
Q6UK10,P21707,1,2,1,10,1,15,1,14,1,17
Q6UK10,Q3UGY8,1,4,1,25,1,30,1,33,1,33
Q6UK10,A6H6A9,1,6,1,34,1,43,1,37,1,34
Q6UK10,P54290,1,1,1,6,1,13,1,20,1,22
Q6UK10,Q60634,1,2,1,9,1,10,1,22,1,21
Q6UK10,P60879,1,6,1,32,1,41,1,42,1,49
Q6UK10,Q85228,1,1,1,6,1,18,1,28,1,23
Q6UK10,P19511,1,4,1,22,1,24,1,19,1,29
Q6UK10,P63044,1,3,1,14,1,18,1,22,1,24
