#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_3	confidence_score_8	confidence_score_12	confidence_score_18	confidence_score_24	cluster	abundance_3	abundance_8	abundance_12	abundance_18	abundance_24
Us9	KIF1A	Q6UK10	P33173	3		1	6	Provided	1	1	1	1	1	2	4	62	72	37	21
Us9	SOS1	Q6UK10	Q62245	3		1	6	Provided	1	1	1	1	1	1	2	22	36	32	27
Us9	ATP9A	Q6UK10	O70228	3		1	6	Provided	1	1	1	1	1	1	3	25	25	27	28
Us9	RANBP6	Q6UK10	Q8BIV3	3		1	6	Provided	1	1	1	1	1	1	2	12	20	11	14
Us9	SLC30A9	Q6UK10	Q5IRJ6	3		1	6	Provided	1	1	1	1	1	2	8	63	53	50	46
Us9	RABGAP1	Q6UK10	A2AWA9	3		1	6	Provided	1	1	1	1	1	2	17	108	121	108	94
Us9	ARFGEF3	Q6UK10	Q3UGY8	3		1	6	Provided	1	1	1	1	1	1	4	25	30	33	33
Us9	RABGAP1L	Q6UK10	A6H6A9	3		1	6	Provided	1	1	1	1	1	1	6	34	43	37	34
Us9	FLOT2	Q6UK10	Q60634	3		1	6	Provided	1	1	1	1	1	1	2	9	10	22	21
Us9	SNAP25	Q6UK10	P60879	3		1	6	Provided	1	1	1	1	1	1	6	32	41	42	49
Us9	VAMP2	Q6UK10	P63044	3		1	6	Provided	1	1	1	1	1	1	3	14	18	22	24
Us9	SMPD4	Q6UK10	Q6ZPR5	3		1	6	Provided	1	1	1	1	1	2	5	26	32	25	18
Us9	DOCK4	Q6UK10	P59764	3		1	6	Provided	1	1	1	1	1	2	7	33	36	20	28
Us9	IPO8	Q6UK10	Q7TMY7	3		1	6	Provided	1	1	1	1	1	2	4	16	18	15	15
Us9	MON2	Q6UK10	Q80TL7	3		1	6	Provided	1	1	1	1	1	2	7	29	29	20	22
Us9	COPB2	Q6UK10	O55029	3		1	6	Provided	1	1	1	1	1	2	8	30	30	30	24
Us9	TNPO3	Q6UK10	Q6P2B1	3		1	6	Provided	1	1	1	1	1	2	6	22	19	21	12
Us9	SLC25A3	Q6UK10	Q8VEM8	3		1	6	Provided	1	1	1	1	1	2	7	23	20	16	22
Us9	SURF4	Q6UK10	Q64310	3		1	6	Provided	1	1	1	1	1	1	6	19	23	22	22
Us9	ATP6V0D1	Q6UK10	P51863	3		1	6	Provided	1	1	1	1	1	1	7	21	19	28	32
Us9	SARM1	Q6UK10	Q6PDS3	3		1	6	Provided	1	1	1	1	1	2	7	19	15	13	10
Us9	MYO5A	Q6UK10	Q99104	3		1	6	Provided	1	1	1	1	1	3	16	38	55	70	35
Us9	MYCBP2	Q6UK10	Q7TPH6	3		1	6	Provided	1	1	1	1	1	2	10	27	27	24	10
Us9	COPG2	Q6UK10	Q9QXK3	3		1	6	Provided	1	1	1	1	1	2	11	28	24	17	21
Us9	XPOT	Q6UK10	Q9CRT8	3		1	6	Provided	1	1	1	1	1	2	8	20	16	15	11
Us9	SLC25A12	Q6UK10	Q8BH59	3		1	6	Provided	1	1	1	1	1	2	16	39	27	21	23
Us9	UBE3C	Q6UK10	Q80U95	3		1	6	Provided	1	1	1	1	1	2	16	38	40	30	22
Us9	PNPLA6	Q6UK10	Q3TRM4	3		1	6	Provided	1	1	1	1	1	1	11	25	36	36	36
Us9	EHD1	Q6UK10	Q9WVK4	3		1	6	Provided	1	1	1	1	1	2	8	18	20	20	13
Us9	CKAP4	Q6UK10	Q8BMK4	3		1	6	Provided	1	1	1	1	1	2	14	33	32	24	30
Us9	STX16	Q6UK10	Q8BVI5	3		1	6	Provided	1	1	1	1	1	1	5	12	20	19	21
Us9	KPNB1	Q6UK10	P70168	3		1	6	Provided	1	1	1	1	1	2	26	58	61	65	54
