gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus
KIF1A	P33173	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
SOS1	Q62245	Mus musculus (Mouse)	Unspecified			3		1	6
ATP9A	O70228	Mus musculus (Mouse)	Golgi		transport; establishment of localization; organic substance transport	3		1	6
RANBP6	Q8BIV3	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
SLC30A9	Q5IRJ6	Mus musculus (Mouse)	Cytoplasm; Endoplasmic Reticulum; Nucleus		transport; establishment of localization	3		1	6
RABGAP1	A2AWA9	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
ARFGEF3	Q3UGY8	Mus musculus (Mouse)	Cytoplasm			3		1	6
RABGAP1L	A6H6A9	Mus musculus (Mouse)	Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
FLOT2	Q60634	Mus musculus (Mouse)	Cell Membrane		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization	3		1	6
SNAP25	P60879	Mus musculus (Mouse)	Cell Membrane; Cytoplasm	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
VAMP2	P63044	Mus musculus (Mouse)	Cell Membrane; Cytoplasm	SNARE complex (Stx1a, Snap25, Cplx2, Vamp2)	transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
SMPD4	Q6ZPR5	Mus musculus (Mouse)	Endoplasmic Reticulum; Golgi; Nucleus			3		1	6
DOCK4	P59764	Mus musculus (Mouse)	Cell Membrane; Cytoplasm			3		1	6
IPO8	Q7TMY7	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
MON2	Q80TL7	Mus musculus (Mouse)	Unspecified		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
COPB2	O55029	Mus musculus (Mouse)	Cytoplasm; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
TNPO3	Q6P2B1	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
SLC25A3	Q8VEM8	Mus musculus (Mouse)	Mitochondrion		transport; establishment of localization	3		1	6
SURF4	Q64310	Mus musculus (Mouse)	Endoplasmic Reticulum; Golgi			3		1	6
ATP6V0D1	P51863	Mus musculus (Mouse)	Unspecified		transport; establishment of localization	3		1	6
SARM1	Q6PDS3	Mus musculus (Mouse)	Cytoplasm; Mitochondrion			3		1	6
MYO5A	Q99104	Mus musculus (Mouse)	Unspecified		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
MYCBP2	Q7TPH6	Mus musculus (Mouse)	Cytoplasm; Nucleus			3		1	6
COPG2	Q9QXK3	Mus musculus (Mouse)	Cytoplasm; Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
XPOT	Q9CRT8	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
SLC25A12	Q8BH59	Mus musculus (Mouse)	Mitochondrion		transport; establishment of localization; organic substance transport; nitrogen compound transport	3		1	6
UBE3C	Q80U95	Mus musculus (Mouse)	Nucleus			3		1	6
PNPLA6	Q3TRM4	Mus musculus (Mouse)	Endoplasmic Reticulum			3		1	6
EHD1	Q9WVK4	Mus musculus (Mouse)	Cell Membrane; Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
CKAP4	Q8BMK4	Mus musculus (Mouse)	Cell Membrane; Cytoplasm; Endoplasmic Reticulum			3		1	6
STX16	Q8BVI5	Mus musculus (Mouse)	Golgi		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
KPNB1	P70168	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
ESYT2	Q3TZZ7	Mus musculus (Mouse)	Cell Membrane; Endoplasmic Reticulum		transport; establishment of localization; cellular localization; organic substance transport; organelle localization	3		1	6
XPO7	Q9EPK7	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
BMP1	P98063	Mus musculus (Mouse)	Golgi			3		1	6
IPO5	Q8BKC5	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
IPO7	Q9EPL8	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
TNPO2	Q99LG2	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
STXBP1	O08599	Mus musculus (Mouse)	Cytoplasm		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport; organelle localization	3		1	6
USP9X	P70398	Mus musculus (Mouse)	Cytoplasm			3		1	6
EHD4	Q9EQP2	Mus musculus (Mouse)	Cell Membrane		transport; establishment of localization; intracellular transport; establishment of localization in cell; cellular localization	3		1	6
TNPO1	Q8BFY9	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
CSE1L	Q9ERK4	Mus musculus (Mouse)	Cytoplasm; Nucleus		transport; establishment of localization; intracellular transport; establishment of localization in cell; peptide transport; amide transport; cellular localization; organic substance transport; nitrogen compound transport	3		1	6
