accession,gene_name,abundance_24,abundance_48,abundance_72,abundance_96,abundance_120
O95881,TXNDC12,85950728.62,94417503.92,94496023.83,93125117.82,91997343.55
O00330,PDHX,16809086.78,18488552.21,21915289.54,25461980.09,20668727.16
Q96GX9,APIP,1778516.654,2004147.654,2290686.291,1559071.293,1908105.473
O76071,CIAO1,6150659.171,6483704.778,5520388.195,5944891.137,6024910.82
Q53EP0,FNDC3B,29655874.18,24256144.22,22717186.44,22689277.47,24829620.58
Q13423,NNT,136405556.7,141742112.6,167268579,182657552.9,157018450.3
P62875,POLR2L,6745226.157,7951652.795,6814475.513,8255735.403,7441772.467
P29728,OAS2,21393912.71,47759115.13,52182430.31,39169472.14,40126232.57
Q9UIJ7,AK3,60799017.39,65475657.76,74748955.5,86111043.2,71783668.46
Q00577,PURA,11313637.84,15994563.09,19669098.84,19299628.09,16569231.96
Q9C0J8,WDR33,8297764.805,7359051.288,5626416.471,5325054.284,6652071.712
Q9UGI8,TES,12056314,10971822.52,9387816.601,10718237.03,10783547.54
Q13185,CBX3; C15orf57; CCDC32,99238049.29,116572175.3,109092026.1,101140833.4,106510771
Q15750,TAB1,3496840.704,4406242.803,3451513.101,4229801.954,3896099.64
Q8N5C1,FAM26E; CALHM5,6577559.99,3506411.65,9103647.157,8000209.946,6796957.186
P57105,SYNJ2BP,15586194.99,17706550.65,17172594.47,17206839.95,16918045.02
P45974,USP5,102531834.2,125418407.6,113495529.9,121398705.8,115711119.4
P04075,ALDOA,1331197376,1458251166,1327765851,1222640884,1334963819
O43617,TRAPPC3,10952011.25,14969451.72,14340219.1,14559401.96,13705271.01
Q9BSJ2,TUBGCP2,9260989.431,12817311.6,11493075.43,9997378.228,10892188.67
Q71RC2,LARP4,17719258.45,13545298.49,8909644.802,7989399.818,12040900.39
P31751,AKT2,3235253.963,3410320.976,2993674.225,2359611.758,2999715.231
Q9UH17,APOBEC3B,8961942.919,11360891.71,8801638.54,5290992.567,8603866.435
Q9ULK4,MED23,7194310.009,9997605.64,10513794.48,11154994.83,9715176.239
Q92538,GBF1,52109385.89,56138722.94,52301206.48,46791557.65,51835218.24
Q13449,LSAMP,2233608.778,1272723.835,2003467.443,2142460.084,1913065.035
P04632,CAPNS1,71629202,69871670.98,63848299.56,63179359.87,67132133.1
Q96FV9,THOC1,9631596.832,9193872.61,9671891.162,9795008.602,9573092.301
P63104,YWHAZ,759103231.3,707100323.5,604693868,597193554,667022744.2
Q16363,LAMA4,16209125.62,31040195.98,44733340.38,46354532.54,34584298.63
P58546,LUZP6; MTPN,41635498.36,47730297.11,46861708.18,50607066.63,46708642.57
Q9HA77,CARS2,28087400.98,33725291.67,37940420.32,42667847.4,35605240.09
Q53T59,HS1BP3,9283123.51,13678370.46,14446055.4,14488434.47,12973995.96
P83436,COG7,8408050.082,10675902.35,11512493.47,10607685.51,10301032.85
Q92581,SLC9A6,2486915.251,4160481.887,5294075.599,5772188.62,4428415.339
Q05639,EEF1A2,810301.1734,27492164.73,56189076.42,58505257.94,35749200.07
Q12979,ABR,13415490.83,16998221.27,16252086.29,16070946.09,15684186.12
Q9ULZ3,PYCARD,9692207.065,12559441.94,13814935.84,13153604.46,12305047.33
Q9H5N1,RABEP2,4867328.422,4561381.197,3683247.653,3567381.452,4169834.681
Q8N5A5,ZGPAT,1388508.734,1435924.735,1179594.415,981089.0783,1246279.241
Q14C86,GAPVD1,15103549.49,18360949.69,17739186.43,17085912.9,17072399.63
Q9Y6D5,ARFGEF2,15497523.31,21127347.34,20509144.86,23400856.44,20133717.99
Q15434,RBMS2,21846242.21,16646753.37,13002563.25,15498437.71,16748499.14
O75386,TULP3,727894.4735,809423.2729,880752.7584,1018640.087,859177.6479
P26641,EEF1G,747577814.4,755595765.9,725688134.1,674618836.8,725870137.8
P51970,NDUFA8,10058226.03,14924251.92,18351153.47,20137006.4,15867659.46
Q4G0F5,VPS26B,12633630.97,12810704.1,12154489.42,13156051.35,12688718.96
O95980,RECK,2363981.583,2751172.673,3583504.414,3468678.03,3041834.175
O95772,STARD3NL,8668046.167,7693109.457,6622148.707,7138347.016,7530412.837
Q9BQ67,GRWD1,20180710.73,22467316.93,20810590.9,20192786.55,20912851.28
P11586,MTHFD1,162996665.9,204314083.3,199961553.8,192479980.6,189938070.9
Q08AM6,VAC14,11206238.55,13792174.76,13778946.89,17463084.14,14060111.09
O14879,IFIT3,489657031.3,463189367.3,374649534.6,270863320.6,399589813.5
Q13228,SELENBP1,26169932.54,32426957.41,42616586.54,49098308.83,37577946.33
Q9Y259,CHKB,425723.8193,697105.0692,980933.6907,1499426.409,900797.247
P30154,PPP2R1B,4353635.145,8357199.203,9829678.415,8938854.809,7869841.893
Q92805,GOLGA1,5326848.514,6283042.471,5965405.091,5813945.678,5847310.438
Q99729,HNRNPAB,84952384.7,80828095.69,77757578.83,62096518.68,76408644.47
Q5T280,C9orf114; SPOUT1,2335792.591,2151473.232,1408957.359,1137970.332,1758548.378
P53597,SUCLG1,68865580.79,64390552.86,64905654.56,64627228.63,65697254.21
O75381,PEX14,21970760.37,26959930.62,23378277.48,26396532.82,24676375.32
P46977,STT3A,235157570.6,252046940.3,261689347.6,247837795.2,249182913.4
P10644,PRKAR1A,86887181.76,79062208.33,69755581.05,60735426.48,74110099.41
P51805,PLXNA3,549375.913,403966.3496,325688.9269,546556.3522,456396.8855
Q9Y4G6,TLN2,11250969.9,13995530.43,16417303.96,18518894.79,15045674.77
O15498,YKT6,39372124.9,45555398.28,46278024.72,43622545.62,43707023.38
Q8WVK2,SNRNP27,687862.2073,699911.8721,858436.2924,713282.7345,739873.2766
Q9BRT3,MIEN1,2843889.528,3458303.562,3603076.562,3902913.27,3452045.731
Q9H173,SIL1,8139204.54,10124653.53,13138943.91,9794002.249,10299201.06
Q6JQN1,ACAD10,576182.4864,703337.1001,1116453.4,1217830.72,903450.9266
Q08623,HDHD1; PUDP,1486087.502,2440781.935,3137474.142,3212412.341,2569188.98
Q9UBS4,DNAJB11,108927364.6,125769207.1,131818003.3,128954116.4,123867172.9
P61026,RAB10,96719454.7,77346151.34,72188462.75,66143233,78099325.45
Q8TED0,UTP15,16951099.03,19699962.71,16402552.97,16315686.42,17342325.28
Q7L5N7,LPCAT2,5019767.614,6142939.279,5709279.78,5071898.356,5485971.257
P62633,CNBP,13559184.61,13691511.19,10327488.21,10105169.52,11920838.38
O43815,STRN,8906227.566,11315520.93,11823522.7,10390663.66,10608983.71
Q9BVS4,RIOK2,4982576.065,3925147.165,3016710.552,2700647.816,3656270.399
Q9UHL4,DPP7,9799763.475,13043487.34,20505758.12,26473971.75,17455745.17
Q9H1E3,NUCKS1,4353839.085,2954912.177,2879613.923,3070014.428,3314594.903
Q6STE5,SMARCD3,8092743.776,5849061.608,5412403.102,5305027.753,6164809.06
Q86U28,ISCA2,2094698.844,3880544.035,5173150.659,3847223.893,3748904.358
Q9P1F3,ABRACL,4535103.569,5004254.332,7015396.538,4974937.548,5382422.997
Q9NR28,DIABLO,36102377.61,35694546.8,37286227.14,40319366.88,37350629.61
Q6XZF7,DNMBP,4714303.564,4305609.088,4025071.437,3016215.324,4015299.853
Q12996,CSTF3,35057307.62,38704867.9,40572152.77,45010233.15,39836140.36
Q9BVC4,MLST8,292471.1796,715416.2999,720555.6847,908542.2125,659246.3442
Q9NYB9,ABI2,1110181.257,1616381.55,1917936.528,1866162.478,1627665.453
Q99590,SCAF11,2773853.921,2895757.415,2203008.951,1690919.708,2390884.998
Q9H9Q4,NHEJ1,293847.716,732017.2222,827016.8796,491422.1835,586076.0003
O15530,PDPK1,700036.4558,1813883.689,1867706.478,1722753.154,1526094.944
Q9NZC9,SMARCAL1,1203155.715,1318813.691,1182688.624,1433390.343,1284512.093
Q8ND24,RNF214,1346609.987,1388270.744,1023073.821,1221635.409,1244897.49
P48739,PITPNB,62560346.44,66231780.78,56907690.21,53981843.77,59920415.3
Q00341,HDLBP,458997731.6,350956665.1,306079737.3,290758035.6,351698042.4
P40306,PSMB10,3622358.83,5204230.659,4260206.244,3851665.14,4234615.218
Q96D71,REPS1,4672120.223,5972283.877,6078189.476,6122172.351,5711191.482
Q9H1C4,UNC93B1,3091339.175,3423529.761,2526459.983,1427911.028,2617309.987
Q16836,HADH,46291561.94,52845789.55,63597483.98,66683751.59,57354646.76
Q5T0F9,CC2D1B,5839718.755,7352734.472,7299161.773,6480971.403,6743146.601
Q7Z2W9,MRPL21,8954318.179,10679296.14,11272720.94,10246015.14,10288087.6
P69905,HBA2; HBA1,95777904.55,90794464.55,78350827.5,84493135.26,87354082.96
Q9NVI1,FANCI,565544.3867,1089519.51,917704.314,797949.7977,842679.5021
Q96EQ0,SGTB,3714449.982,2965257.345,1439713.47,3327046.555,2861616.838
Q92733,PRCC,1667735.41,2051942.4,1944430.986,2401676.466,2016446.316
P13473,LAMP2,94105629.18,114230340.5,113792342.2,96265285.3,104598399.3
P39023,RPL3,539253674.4,512192781.9,468007156.3,442023792.2,490369351.2
Q8TBZ3,WDR20,845760.6287,1175506.512,1208779.093,1229721.46,1114941.924
Q86VY4,TSPYL5,894452.0285,642301.5121,459892.8059,336186.8395,583208.2965
P52943,CRIP2,31496284.61,33728144.5,33075012.55,26234486,31133481.91
Q15642,TRIP10,14656311.94,18410793.8,17991761.12,19221359.07,17570056.48
P29692,EEF1D,445680430,428607805.2,403564472.3,378851058.4,414175941.5
A0PJW6,TMEM223,663008.9546,1628107.717,1548730.759,1852764.843,1423153.068
Q96S66,CLCC1,18078549.38,16081118.68,12550700.26,12240269.17,14737659.37
P80303,NUCB2,119388342.6,122335784.1,115676469.5,115688828.1,118272356.1
P05106,ITGB3,3715686.956,2393440.489,2134016.408,2225228.825,2617093.169
P51532,SMARCA4,33366829.6,35889846.6,34740454.57,35691520.71,34922162.87
Q8N1F8,STK11IP,2841467.485,3503415.834,4173015.471,4301891.718,3704947.627
Q92621,NUP205,73892738.62,83022322.59,88578997.04,93188654.78,84670678.26
Q2TAA2,IAH1,7983810.477,9036450.307,9664721.472,9817097.294,9125519.887
P53365,ARFIP2,2455194.009,2644210.02,2479772.947,2789844.481,2592255.364
P28838,LAP3,194329354.5,285269337.2,295422881,294818692.5,267460066.3
P38606,ATP6V1A,168493016.1,216160888.8,234550590.2,240657560.6,214965513.9
Q9NY12,GAR1,5313934.895,6016424.893,6357958.083,6877414.596,6141433.117
Q9UI42,CPA4,1584162.467,3034684.493,2937881.151,1919088.29,2368954.1
Q12929,EPS8,8121157.321,8284334.019,5712845.391,3969345.503,6521920.559
Q8IV38,ANKMY2,972873.2918,1162726.33,1561989.544,1427254.25,1281210.854
Q14914,PTGR1,79021200,100064299.9,111621562.9,110657263.4,100341081.5
Q9H7C4,SYNC,4313070.41,3895773.725,3825799.149,3101125.36,3783942.161
Q16718,NDUFA5,16804867.16,21513684.78,27230948.63,31407154.47,24239163.76
P35658,NUP214,27308533.44,34043779.3,34877441.69,37192064.45,33355454.72
P18583,SON,66748687.75,58734655.42,49842600.17,46817492.53,55535858.97
Q3LFD5,USP41,974759.3626,923160.681,712135.7164,368134.8096,744547.6424
O14647,CHD2,8813746.688,11754553.9,13519482.81,13141607.79,11807347.8
O75508,CLDN11,8533325.351,9412904.764,7604735.945,80768.64279,6407933.676
P35251,RFC1,8014420.365,9387457.652,7551204.868,6430162.155,7845811.26
Q9HAU0,PLEKHA5,2014983.42,2746935.044,2952399.461,3315847.158,2757541.271
P23219,PTGS1,227746650.6,193898167.6,197159289.8,177880097.1,199171051.3
P18754,RCC1,52197064.1,50784503.4,46006965.46,42102077.99,47772652.74
Q9NZV5,SEPN1; SELENON,1901393.972,1979914.679,1861591.623,1986835.465,1932433.935
P49441,INPP1,3775300.344,4982114.473,4883542.845,5198120.384,4709769.511
Q96KB5,PBK,5472691.901,6633166.449,4213775.9,3375971.26,4923901.377
P24539,ATP5F1,151428873.9,169426666.1,198952472,228783350.4,187147840.6
P43304,GPD2,85498987.57,107465399.6,132140429.1,146633496.1,117934578.1
O95926,SYF2,1483186.18,1751922.379,1187403.214,1287524.631,1427509.101
Q8WW12,PCNP,15875624.91,4208626.63,1972260.737,2021057.366,6019392.411
Q15631,TSN,31122444.96,38224813.59,39259133.38,44128515.85,38183726.94
P23497,SP100,40097926.44,39071647.65,42359327.41,36081219.13,39402530.16
Q86YV5,SGK223; PRAG1,847532.0084,1181220.515,1208227.401,752561.0993,997385.2559
O00462,MANBA,8269435.072,8834524.95,15064591.06,22510739.02,13669822.53
Q12769,NUP160,29176345.12,34672568.83,35051858.85,37392209.98,34073245.7
P27695,APEX1,93454385.41,92979364.49,100240446.5,101334461.9,97002164.57
Q7L5Y9,MAEA,1104571.888,964553.2639,993834.8926,907894.3025,992713.5869
O60462,NRP2,4382606.784,1598676.3,3808989.123,4752960.686,3635808.223
Q15063,POSTN,3167072.421,2776016.003,5307100.055,6777023.876,4506803.089
Q9NXS2,QPCTL,3188220.948,4080445.077,4580846.179,4691815.415,4135331.905
Q8NC44,FAM134A; RETREG2,7290428.329,9862279.318,9878816.181,6921686.486,8488302.578
Q7Z2E3,APTX,1327808.451,1563165.276,1670392.279,1626842.548,1547052.138
Q8NBU5,ATAD1,13198306.67,12826982.44,13120198.03,14625089.13,13442644.07
Q8WWV3,RTN4IP1,1164428.231,2429231.69,3235007.839,3282169.233,2527709.248
P08133,ANXA6,1237156867,1267994775,1408334862,1371264929,1321187858
P26373,RPL13,272109882.8,277907749.4,280749498.7,235453936.3,266555266.8
O94854,KIAA0754,1643324.264,1578159.144,1442697.158,820530.1733,1371177.685
O00308,WWP2,887215.3746,1015753.63,363491.5791,338316.9427,651194.3815
P23786,CPT2,150949778.2,186764559.2,199840808.8,187950898.1,181376511.1
Q12792,TWF1,45774407.71,49691842.88,45355888.23,44773404.56,46398885.84
Q8N2G8,GHDC,884347.1714,902817.9627,1502627.213,1551845.484,1210409.458
P48426,PIP4K2A,21871872.53,18511017.38,14048938.97,15395227.63,17456764.13
Q8N573,OXR1,2037772.983,2313441.525,3146997.167,3642338.763,2785137.609
Q12906,ILF3,573229696.7,530444445.7,486554083.2,510582654.4,525202720
P78417,GSTO1,220221555.3,216699848.8,205243694.8,204388873.1,211638493
Q9Y5A7,NUB1,2692245.202,2538490.603,2509188.773,1982517.328,2430610.476
P33947,KDELR2,39886569.36,13167988.94,5352303.096,7442419.19,16462320.15
Q6PGP7,TTC37,15003648.68,15170039.12,14647592.92,15590390.8,15102917.88
P48556,PSMD8,94779329.05,106488363.8,109919007.9,120991043.5,108044436.1
Q9HCK8,CHD8,2852234.179,3055361.492,2900947.538,2527876.926,2834105.034
Q8IWJ2,GCC2,9146966.184,7795741.32,6800526.106,7911213.811,7913611.855
P54578,USP14,84497624.61,110435576,109848004.8,106836494.1,102904424.9
P07305,H1F0,49455406.5,81396461.24,83055385,83148535.93,74263947.17
O14936,CASK,5122727.081,4742855.463,5063002.372,4958376.711,4971740.406
P23368,ME2,57757033.23,83884926.67,97192740.44,107756305.2,86647751.37
Q9BWJ5,SF3B5,14052354.57,14065631.83,12654300.79,11853290.82,13156394.5
Q13888,GTF2H2; GTF2H2C,3909365.166,3495617.432,3200158.899,3689412.217,3573638.429
Q14807,KIF22,3819854.852,6420890.792,4537494.411,3324228.278,4525617.083
Q99961,SH3GL1,58462909.08,50478039.77,39093840.72,39630519.69,46916327.32
Q86UL3,AGPAT6; GPAT4,4298654.944,4234294.853,4397690.972,4451935.918,4345644.172
Q9NZV1,CRIM1,7676874.084,6135174.952,8455834.997,11152592.27,8355119.077
P21912,SDHB,66511531,79920412.12,105797620.7,117794219,92505945.68
Q96QD8,SLC38A2,97136857.54,72571306.4,48122287.05,29574089.6,61851135.15
Q06481,APLP2,5825025.608,3840743.615,2284629.309,1693223.733,3410905.566
O00267,SUPT5H,55142895.18,63880752.19,62809353.91,67724613.05,62389403.58
Q9BWM7,SFXN3,80297141.5,96889306.12,118465555.9,123556165.9,104802042.4
P53701,HCCS,17754626.24,22300959.81,24056103.24,25460964.07,22393163.34
Q9Y3D7,PAM16,3998622.198,4950621.913,5809318.958,5114104.945,4968167.004
Q92620,DHX38,22328687.25,23614955.13,22268467.9,23574385.37,22946623.91
P46926,GNPDA1,47895433.31,80793249.59,87191091.33,89048615.18,76232097.35
P20933,AGA,7904804.63,8366376.459,12429433.92,14401143.27,10775439.57
Q8NHU6,TDRD7,6888397.401,8240053.451,6688478.78,5154409.956,6742834.897
