GO.ID	Term	Annotated	Significant	Expected	Fisher_p_value	Corrected p-value	Proteins
GO:0008104	protein localization	1463	37	13.38	7.5e-11	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; LAMP1; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KIAA0196; PICALM; SPCS2; VAMP3; LAMTOR1; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NEDD4L; NAPG; VAMP8; TMED9; ZFYVE20; RRAGC; RAB18; CYLD; APPL1; TNPO3
GO:0015031	protein transport	1064	31	9.73	2.6e-10	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KIAA0196; SPCS2; VAMP3; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; APPL1; TNPO3
GO:0015833	peptide transport	1073	31	9.82	3.3e-10	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KIAA0196; SPCS2; VAMP3; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; APPL1; TNPO3
GO:0033036	macromolecule localization	1588	38	14.53	1.8e-10	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; LAMP1; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KHDRBS1; KIAA0196; PICALM; SPCS2; VAMP3; LAMTOR1; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NEDD4L; NAPG; VAMP8; TMED9; ZFYVE20; RRAGC; RAB18; CYLD; APPL1; TNPO3
GO:0042886	amide transport	1079	31	9.87	3.8e-10	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KIAA0196; SPCS2; VAMP3; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; APPL1; TNPO3
GO:0045184	establishment of protein localization	1128	32	10.32	2.2e-10	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; LAMP1; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KIAA0196; SPCS2; VAMP3; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; APPL1; TNPO3
GO:0071702	organic substance transport	1299	34	11.88	3.6e-10	7.13372169383796e-07	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KHDRBS1; KIAA0196; SPCS2; VAMP3; LAMTOR1; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; SORT1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; APPL1; TNPO3
GO:0006810	transport	2223	44	20.34	7.4e-10	1.09350026415452e-06	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; EPN2; TFRC; LAMP1; SLC25A4; M6PR; ATP6V1B2; CDH3; ARRB2; ATP6V1E1; ATP6V1A; OPRD1; CENPF; AGFG1; DSG1; KHDRBS1; KIAA0196; PICALM; CAMK2B; SPCS2; VAMP3; LAMTOR1; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NEDD4L; SORT1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; ITSN2; UBQLN2; APPL1; TNPO3
GO:0071705	nitrogen compound transport	1177	32	10.77	6.8e-10	1.09350026415452e-06	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; TFRC; SLC25A4; M6PR; ATP6V1B2; ARRB2; ATP6V1E1; ATP6V1A; CENPF; AGFG1; KHDRBS1; KIAA0196; SPCS2; VAMP3; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; APPL1; TNPO3
GO:0051234	establishment of localization	2293	44	20.98	2.3e-09	2.98331179754229e-06	WWP2; DNM1L; STX16; SCAMP3; STX7; TOM1; ATP6V1G1; SEC31A; EPN2; TFRC; LAMP1; SLC25A4; M6PR; ATP6V1B2; CDH3; ARRB2; ATP6V1E1; ATP6V1A; OPRD1; CENPF; AGFG1; DSG1; KHDRBS1; KIAA0196; PICALM; CAMK2B; SPCS2; VAMP3; LAMTOR1; SUPT6H; NPLOC4; TGFBRAP1; ATP6V0A1; NEDD4L; SORT1; NAPG; VAMP8; TMED9; ZFYVE20; RAB18; ITSN2; UBQLN2; APPL1; TNPO3
