GO.ID	Term	Annotated	Significant	Expected	Fisher_p_value	Corrected p-value	Proteins
GO:0006614	SRP-dependent cotranslational protein ta...	85	29	2.34	1.1e-24	1.43577660073941e-20	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; RPL9; RPL22; RPL4; SRP14; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; SRP9; RPL14; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18
GO:0006613	cotranslational protein targeting to mem...	89	29	2.45	4.8e-24	2.78511915541166e-20	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; RPL9; RPL22; RPL4; SRP14; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; SRP9; RPL14; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18
GO:0072599	establishment of protein localization to...	98	30	2.7	6.2e-24	2.78511915541166e-20	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; RPL9; RPL22; RPL4; SRP14; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; SRP9; RPL14; RAB10; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18
GO:0045047	protein targeting to ER	95	29	2.62	4.0e-23	1.35755031453218e-19	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; RPL9; RPL22; RPL4; SRP14; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; SRP9; RPL14; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18
GO:0070972	protein localization to endoplasmic reti...	114	30	3.14	8.6e-22	2.31447419973214e-18	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; RPL9; RPL22; RPL4; SRP14; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; SRP9; RPL14; RAB10; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18
GO:0000184	nuclear-transcribed mRNA catabolic proce...	106	29	2.92	1.3e-21	2.90325524180749e-18	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; PPP2R1A; RPL9; RPL22; RPL4; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; RPL14; EIF3E; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18
GO:0006413	translational initiation	155	33	4.27	9.4e-21	1.80802651081408e-17	DDX3X; EIF2S1; RPLP0; RPS17; RPSA; RPL35A; EIF4B; RPS12; RPL13; RPL9; RPL22; RPL4; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; RPL14; EIF3E; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; RPL18A; RPL18; EIF3A; C15orf42
GO:0006612	protein targeting to membrane	141	30	3.88	6.4e-19	1.07292939821091e-15	RPLP0; RPS17; RPSA; RPL35A; RPS12; RPL13; RPL9; RPL22; RPL4; SRP14; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; SRP9; RPL14; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; RPS21; CDK5; RPL18A; RPL18
GO:0006402	mRNA catabolic process	255	38	7.03	4.0e-18	6.07328691496866e-15	XPO1; RPLP0; VIM; RPS17; RPSA; RNH1; DDX5; RPL35A; RPS12; RPL13; PPP2R1A; RPL9; RPL22; RPL4; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; RPL14; FXR2; EIF3E; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; YWHAZ; RPS21; RPL18A; RPL18; DHX9; TARDBP; THRAP3
GO:0006401	RNA catabolic process	277	39	7.63	1.1e-17	1.43138147635931e-14	XPO1; RPLP0; VIM; RPS17; RPSA; RNH1; DDX5; RPL35A; RPS12; RPL13; PPP2R1A; RPL9; RPL22; RPL4; RPS19; RPL3; RPL13A; RPL27A; RPL5; RPL21; RPS5; RPL14; FXR2; EIF3E; RPL27; RPS8; RPS11; RPS28; RPL31; RPL10A; RPL8; YWHAZ; RPS21; RPL18A; RPL18; DHX9; TARDBP; SLIRP; THRAP3
