GO.ID	Term	Annotated	Significant	Expected	Fisher_p_value	Corrected p-value	Proteins
GO:0006810	transport	115	59	31.65	1.8e-11	4.47329696057235e-08	TRIM28; VPS45; DNM1L; ACSL4; EXOC7; ACSL5; GNAI2; ATP1A1; RPN1; ATP1B1; ATP5B; CLTC; ATP2B1; ATP2A2; ATP5A1; ATP5F1; DNM1; SYT1; COPB1; ATP6V0A1; TCP1; ATP5H; ATP5C1; LDLR; DYNC1H1; MTOR; VCP; SYT5; GDI1; CACNA2D1; GNAO1; AP2B1; KCNN3; ATP7A; ATP5O; SLC2A3; COPG; NISCH; ZW10; LRPPRC; CADPS; GOLGA2; NEDD4; SCFD1; PTPRN; MYO1C; STX6; GNAS; ATP2B4; SGSM3; US9; XPO1; ABCC1; EHD3; GPRASP1; MYO5A; GABBR1; FLOT1; SEC31A
GO:0051234	establishment of localization	115	59	31.65	1.8e-11	4.47329696057235e-08	TRIM28; VPS45; DNM1L; ACSL4; EXOC7; ACSL5; GNAI2; ATP1A1; RPN1; ATP1B1; ATP5B; CLTC; ATP2B1; ATP2A2; ATP5A1; ATP5F1; DNM1; SYT1; COPB1; ATP6V0A1; TCP1; ATP5H; ATP5C1; LDLR; DYNC1H1; MTOR; VCP; SYT5; GDI1; CACNA2D1; GNAO1; AP2B1; KCNN3; ATP7A; ATP5O; SLC2A3; COPG; NISCH; ZW10; LRPPRC; CADPS; GOLGA2; NEDD4; SCFD1; PTPRN; MYO1C; STX6; GNAS; ATP2B4; SGSM3; US9; XPO1; ABCC1; EHD3; GPRASP1; MYO5A; GABBR1; FLOT1; SEC31A
GO:0051640	organelle localization	16	15	4.4	2.2e-08	3.62057481648331e-05	VPS45; DNM1L; ATP2A2; DNM1; SYT1; DYNC1H1; SYT5; COPG; ZW10; CADPS; SCFD1; MYO1C; STX6; XPO1; MYO5A
GO:0016192	vesicle-mediated transport	39	26	10.73	6.9e-08	8.56386829380506e-05	VPS45; DNM1L; EXOC7; GNAI2; ATP5B; CLTC; ATP2A2; DNM1; SYT1; COPB1; LDLR; VCP; SYT5; AP2B1; COPG; ZW10; CADPS; GOLGA2; NEDD4; SCFD1; STX6; EHD3; GPRASP1; MYO5A; FLOT1; SEC31A
GO:0051656	establishment of organelle localization	12	12	3.3	1.1e-07	0.000114655795024921	DNM1L; ATP2A2; DNM1; SYT1; DYNC1H1; SYT5; COPG; ZW10; CADPS; MYO1C; XPO1; MYO5A
GO:0046907	intracellular transport	39	25	10.73	4.3e-07	0.000309308130371907	TRIM28; DNM1L; CLTC; ATP2A2; DNM1; SYT1; COPB1; DYNC1H1; VCP; SYT5; GDI1; COPG; ZW10; CADPS; GOLGA2; NEDD4; SCFD1; MYO1C; STX6; SGSM3; XPO1; EHD3; GPRASP1; MYO5A; SEC31A
GO:0051179	localization	148	62	40.73	4.3e-07	0.000309308130371907	TRIM28; VPS45; DNM1L; ACSL4; EXOC7; ACSL5; GNAI2; FN1; ATP1A1; RPN1; ATP1B1; SCG2; ATP5B; CLTC; ATP2B1; ATP2A2; ATP5A1; ATP5F1; DNM1; SYT1; COPB1; ATP6V0A1; TCP1; ATP5H; ATP5C1; LDLR; DYNC1H1; MTOR; VCP; SYT5; GDI1; CACNA2D1; GNAO1; AP2B1; KCNN3; ATP7A; ATP5O; SLC2A3; COPG; NISCH; ZW10; LRPPRC; CADPS; GOLGA2; NEDD4; SCFD1; PTPRN; MYO1C; MYO1D; STX6; GNAS; ATP2B4; SGSM3; US9; XPO1; ABCC1; EHD3; GPRASP1; MYO5A; GABBR1; FLOT1; SEC31A
GO:0051649	establishment of localization in cell	48	28	13.21	1.3e-06	0.000816234579828781	TRIM28; DNM1L; CLTC; ATP2A2; DNM1; SYT1; COPB1; DYNC1H1; VCP; SYT5; GDI1; CACNA2D1; AP2B1; COPG; ZW10; CADPS; GOLGA2; NEDD4; SCFD1; PTPRN; MYO1C; STX6; SGSM3; XPO1; EHD3; GPRASP1; MYO5A; SEC31A
GO:0071702	organic substance transport	67	35	18.44	1.6e-06	0.000875475586094482	TRIM28; VPS45; DNM1L; ACSL4; EXOC7; ACSL5; RPN1; CLTC; SYT1; COPB1; TCP1; LDLR; VCP; SYT5; GDI1; SLC2A3; COPG; NISCH; ZW10; LRPPRC; CADPS; GOLGA2; NEDD4; SCFD1; PTPRN; MYO1C; STX6; SGSM3; XPO1; ABCC1; EHD3; MYO5A; GABBR1; FLOT1; SEC31A
GO:0006164	purine nucleotide biosynthetic process	14	12	3.85	6.2e-06	0.00182957742532545	ACSL4; ACSL5; ATP5B; ACACA; ATP5A1; PGK1; ACLY; ATP5F1; ATP5H; ATP5C1; VCP; ATP5O
