#node1	node2	node1_accession	node2_accession	onset_condition	terminus_condition	onset	terminus	type	confidence_score_G1	confidence_score_S	confidence_score_G2	confidence_score_M	cluster	abundance_G1	abundance_S	abundance_G2	abundance_M
CCNB1	ACTN1	P14635	A1L0V1	 M		4	5	Provided	0	0	0.029315186	0.630945559	1	0	0	1	22
CCNA2	CNOT1	P20248	A5YKK6-1	 G2	 M	3	4	Provided	0	0.006687679	0.093753582	0	2	0	0.2	3.3	0
CCNE1	CNOT1	P24864-1	A5YKK6-1	G1	 G2	1	3	Provided	0.076588348	0.066430086	0	0	2	2.7	2.3	0	0
CCNA2	RPL32	P20248	A6NC28	 S	 M	2	4	Provided	0	0.160243553	0.084759312	0	1	0	5.6	3	0
CCNA2	RPL26	P20248	A6NE05	 S	 M	2	4	Provided	0	0.082136103	0.102838109	0	1	0	2.9	3.6	0
CCNA2	RPS7	P20248	A6NE65	 S	 M	2	4	Provided	0	0.052315186	0.104816619	0	2	0	1.8	3.7	0
CCNB1	SPTAN1	P14635	A6NG51	 M		4	5	Provided	0	0	0.02150702	0.168926934	1	0	0	0.8	5.9
CCNA2	SPTAN1	P20248	A6NG51	 G2	 M	3	4	Provided	0	0.018155014	0.140587393	0	2	0	0.6	4.9	0
CCNB1	RPS27A;UBA52	P14635	A8K674	 G2		3	5	Provided	0	0	0.066468959	0.062518625	2	0	0	2.3	2.2
CCNA2	RPS27A;UBA52	P20248	A8K674	 S	 M	2	4	Provided	0	0.07417574	0.076722063	0	1	0	2.6	2.7	0
CCNE1	RPS27A;UBA52	P24864-1	A8K674	G1	 S	1	2	Provided	0.059468481	0.031805158	0	0	1	2.1	1.1	0	0
RPS5	RPL23A	P46782	A8MUS3			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
CCNA2	RPL23A	P20248	A8MUS3	 S	 M	2	4	Provided	0	0.085337822	0.0905234	0	1	0	3	3.2	0
RPL18	RPL23A	Q07020	A8MUS3			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS28	RPL23A	P62857	A8MUS3			Inf	Inf	STRING	0.991	0.991	0.991	0.991					
RPS20	RPL23A	B4DW28	A8MUS3			Inf	Inf	STRING	0.962	0.962	0.962	0.962					
RPL27	RPL23A	P61353	A8MUS3			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPS19	RPL23A	P39019	A8MUS3			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
CCNB1	RPL23A	P14635	A8MUS3	 M		4	5	Provided	0	0	0.022211175	0.108601719	1	0	0	0.8	3.8
RPL9	RPL23A	P32969	A8MUS3			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPL35A	RPL23A	P18077	A8MUS3			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
RPLP0	RPL23A	P05388	A8MUS3			Inf	Inf	STRING	0.992	0.992	0.992	0.992					
CCNA2	RPL7	P20248	A8MY04	 S	 M	2	4	Provided	0	0.18795702	0.267622732	0	1	0	6.6	9.3	0
CCNB1	RPL7	P14635	A8MY04	 M		4	5	Provided	0	0	0.025315473	0.288767908	1	0	0	0.9	10.1
CCNA2	RPL30	P20248	A8MYX5	 S	 M	2	4	Provided	0	0.137360076	0.163541547	0	1	0	4.8	5.7	0
CCNB1	RPL30	P14635	A8MYX5	 M		4	5	Provided	0	0	0.030382521	0.083623209	1	0	0	1.1	2.9
CCNA2	RPL6	P20248	B2R4K7	 S	 M	2	4	Provided	0	0.138383954	0.060146132	0	1	0	4.8	2.1	0
CCNB1	RPL6	P14635	B2R4K7	 M		4	5	Provided	0	0	0.018518052	0.102454155	1	0	0	0.6	3.6
CCNB1	FLNB	P14635	B2ZZ83	 M		4	5	Provided	0	0	0.032432665	0.087750716	1	0	0	1.1	3.1
RPL27	RPS20	P61353	B4DW28			Inf	Inf	STRING	0.963	0.963	0.963	0.963					
RPS28	RPS20	P62857	B4DW28			Inf	Inf	STRING	0.958	0.958	0.958	0.958					
RPL18	RPS20	Q07020	B4DW28			Inf	Inf	STRING	0.96	0.96	0.96	0.96					
RPS5	RPS20	P46782	B4DW28			Inf	Inf	STRING	0.938	0.938	0.938	0.938					
RPLP0	RPS20	P05388	B4DW28			Inf	Inf	STRING	0.956	0.956	0.956	0.956					
RPS19	RPS20	P39019	B4DW28			Inf	Inf	STRING	0.962	0.962	0.962	0.962					
SLIRP	RPS20	Q9GZT3	B4DW28			Inf	Inf	STRING	0.373	0.373	0.373	0.373					
CCNB1	RPS20	P14635	B4DW28	 M		4	5	Provided	0	0	0.028423305	0.074276982	1	0	0	1	2.6
