gene_name	accession	species	localizations	complexes	GO_terms	onset_condition	terminus_condition	onset	terminus
OPRD1	P41143	Homo sapiens (Human)	Cell Membrane		transport; establishment of localization	1min		1	5
AGFG1	P52594	Homo sapiens (Human)	Cytoplasm; Nucleus		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	1min	10min	1	3
AGTRAP	Q6RW13	Homo sapiens (Human)	Unspecified			1min	10min	1	3
APPL1	Q9UKG1	Homo sapiens (Human)	Cytoplasm; Nucleus		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	1min	30min	1	4
ARRB2	P32121	Homo sapiens (Human)	Cell Membrane; Cytoplasm; Nucleus		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	1min		1	5
ATP6V0A1	Q93050	Homo sapiens (Human)	Cytoplasm		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	3min		2	5
ATP6V1A	P38606	Homo sapiens (Human)	Cytoplasm		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	10min		3	5
ATP6V1B2	P21281	Homo sapiens (Human)	Unspecified		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	30min		4	5
ATP6V1E1	P36543	Homo sapiens (Human)	Unspecified		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	10min		3	5
ATP6V1G1	O75348	Homo sapiens (Human)	Unspecified		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	3min		2	5
CAMK2B	Q13554	Homo sapiens (Human)	Unspecified		transport; establishment of localization	10min	30min	3	4
CDH3	P22223	Homo sapiens (Human)	Cell Membrane		transport; establishment of localization	1min	3min	1	2
CENPF	P49454	Homo sapiens (Human)	Cytoplasm; Nucleus		protein localization; protein transport; peptide transport; macromolecule localization; amide transport; establishment of protein localization; organic substance transport; transport; nitrogen compound transport; establishment of localization	30min		4	5
